topic,subtopic,ielts_paper_type,band_min,band_max,word_goal,candidate_goal,approx_levels,chinese_learner_priority,notes
Society,urban life and cities,Writing/Reading,5.5,6.5,260,450,163-168,high,Urban rural infrastructure congestion housing migration and very common Task 2 topic.
Society,crime and law,Writing/Reading,5.5,6.5,260,450,169-174,high,Crime punishment law justice prison prevention and legal vocabulary Chinese learners struggle with.
Society,family and social change,Writing/Speaking,5.0,6.0,220,380,175-177,high,Marriage ageing generation parenting divorce and common Chinese IELTS essay topic.
Society,gender equality and rights,Writing/Speaking,6.0,7.0,220,380,178-180,medium,Gender equality discrimination rights opportunity and higher-band social issues vocabulary.
Media,news and journalism,Reading/Writing,5.5,6.5,220,380,181-184,high,Media journalist broadcast bias censorship misinformation and Academic Reading/Task 2 terms.
Media,advertising and marketing,Writing/Reading,5.5,6.5,220,380,185-188,high,Advertising brand consumer influence promotion and frequent Task 2 topic vocabulary.
Media,social media and communication,Writing/Speaking,5.5,6.5,220,380,189-192,high,Platform content viral communication privacy influence and current high-frequency IELTS topic.
Government,politics and policy,Writing/Reading,6.0,7.0,220,380,193-196,medium,Policy legislation government democracy regulation and cautious high-band Reading/Writing vocabulary.
Government,public services and welfare,Writing/Reading,6.0,7.0,220,380,197-200,medium,Tax welfare subsidy public sector healthcare education funding and government-responsibility essays.
Government,international relations,Reading/Writing,6.5,7.5,200,340,201-204,medium,Diplomacy treaty sanction trade cooperation conflict and higher-band Academic Reading vocabulary.
Economy,personal finance and banking,Listening/Reading,5.0,6.0,180,310,205-207,high,Bank loan debt budget savings insurance and practical Listening/Reading finance terms.
Economy,national economy and growth,Writing/Reading,6.5,7.5,240,420,208-212,medium,Inflation recession GDP productivity consumption and high-band economy Reading/Writing vocabulary.
Economy,global trade and development,Reading/Writing,7.0,8.0,220,380,213-216,medium,Export import globalisation development inequality investment and high-band academic topics.
Science,biology and human body,Reading,5.5,6.5,200,340,217-219,medium,Cell organ gene evolution disease and common Academic Reading science vocabulary.
Science,physics and chemistry basics,Reading,6.0,7.0,180,310,220-222,low,Element molecule reaction force energy and occasional Academic Reading science vocabulary.
Science,space and astronomy,Reading,6.5,7.5,180,310,223-225,low,Planet orbit galaxy telescope mission and occasional Reading passage vocabulary.
Science,research and data,Reading/Writing,6.5,8.0,260,450,226-231,medium,Hypothesis experiment evidence analyse result data and core Academic Reading/Task 1 language.
Academic Language,academic verbs,Writing/Reading,6.0,8.0,220,380,232,high,AWL-style verbs such as demonstrate indicate suggest attribute contribute and evaluate.
Academic Language,academic nouns,Writing/Reading,6.0,8.0,240,420,233,high,Abstract nouns such as factor impact trend implication approach evidence and outcome.
Academic Language,academic adjectives and adverbs,Writing/Reading,6.0,8.0,220,380,234,high,Formal modifiers such as significant considerable substantial relatively and approximately.
Academic Language,cause and effect language,Writing,6.0,8.0,220,380,235,high,Causation consequence result lead-to contribute-to and Task 2 reasoning vocabulary.
Academic Language,comparison and contrast language,Writing/Reading,6.0,8.0,220,380,236,high,Whereas while compared with in contrast similar distinct and chart comparison language.
Academic Language,stance and evaluation language,Writing/Speaking,6.5,8.0,220,380,237,high,Argue claim assume valid problematic beneficial harmful and high-band opinion language.
Academic Language,data and trend language,Writing,6.5,8.0,240,420,238,high,Increase decline fluctuate proportion percentage peak remain stable and Task 1 language.
Academic Language,argument and counterargument language,Writing,7.0,8.0,260,450,239-240,high,However nevertheless opponents proponents justify refute concession and high-band essay structure.
