sense_id,headword,pos,selected_sense_en,definition_en,definition_zh,curriculum_band,cefr_level,vocabulary_role,primary_topic_id,secondary_topics,pronunciation_ipa_us,american_audio_file,ecdict_tags,ecdict_collins,ecdict_bnc_rank,ecdict_frq_rank,source_definition,source_translation,copyright_status,license_review,human_review,review_reason,review_status,reviewed_by,review_basis
husband_n_1,husband,n.,the man that somebody is married to; a married man,the man that somebody is married to; a married man,丈夫,4.0,A1,foundation,daily_life_people_and_family,,/ˈhʌzbənd/,husband_us.mp3,zk gk gre,4,826,637,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
wife_n_1,wife,n.,the woman that somebody is married to; a married woman,the woman that somebody is married to; a married woman,妻子；太太,4.0,A1,foundation,daily_life_people_and_family,,/waɪf/,wife_us.mp3,zk gk,5,531,466,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
sister_n_1,sister,n.,girl or woman who has the same mother and father as another person,girl or woman who has the same mother and father as another person,姐妹；姐姐；妹妹,4.0,A1,foundation,daily_life_people_and_family,,/ˈsɪstər/,sister_us.mp3,zk gk,5,1049,823,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
couple_n_1,couple,n.,two people who are married or in a romantic relationship,two people who are married or in a romantic relationship,夫妻；情侣,4.0,A2,foundation,daily_life_people_and_family,,/ˈkʌpl/,couple_us.mp3,zk gk cet4 ky toefl,4,727,531,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
married_adj_1,married,adj.,having a husband or wife,having a husband or wife,已婚的,4.0,A1,foundation,daily_life_people_and_family,,/ˈmærid/,married_us.mp3,gk cet4 cet6 ky,3,1742,1610,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
adult_n_1,adult,n.,fully grown person who is legally responsible for their actions,fully grown person who is legally responsible for their actions,成年人,4.0,A1,foundation,daily_life_people_and_family,,/əˈdʌlt/,adult_us.mp3,gk cet4 ky ielts,4,1236,969,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
person_n_1,person,n.,human as an individual,human as an individual,人；个人,4.0,A1,foundation,daily_life_people_and_family,,/ˈpɜːrsn/,person_us.mp3,zk gk ielts,5,308,345,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
aunt_n_1,aunt,n.,the sister of your father or mother; the wife of your uncle or aunt,the sister of your father or mother; the wife of your uncle or aunt,姑妈；姨妈；伯母；婶母,4.0,A1,foundation,daily_life_people_and_family,,/ænt/,aunt_us.mp3,zk gk,4,2569,4166,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
boy_n_1,boy,n.,male child or a young male person,male child or a young male person,男孩,4.0,A1,foundation,daily_life_people_and_family,,/bɔɪ/,boy_us.mp3,zk gk,5,462,382,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
girl_n_1,girl,n.,female child,female child,女孩,4.0,A1,foundation,daily_life_people_and_family,,/ɡɜːrl/,girl_us.mp3,zk gk,5,362,363,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
marriage_n_1,marriage,n.,the legal relationship between two people who are married to each other,the legal relationship between two people who are married to each other,婚姻,4.0,B1,foundation,daily_life_people_and_family,,/ˈmærɪdʒ/,marriage_us.mp3,zk gk cet4 cet6 ky,4,1154,1011,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
uncle_n_1,uncle,n.,the brother of your mother or father; the husband of your aunt or uncle,the brother of your mother or father; the husband of your aunt or uncle,叔叔；伯伯；舅舅；姨父,4.0,A1,foundation,daily_life_people_and_family,,/ˈʌŋkl/,uncle_us.mp3,zk gk,3,2301,3345,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
cousin_n_1,cousin,n.,child of your aunt or uncle,child of your aunt or uncle,堂兄弟姐妹；表兄弟姐妹,4.0,A1,foundation,daily_life_people_and_family,,/ˈkʌzn/,cousin_us.mp3,zk gk cet4 cet6 ky,4,3010,2714,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
man_n_1,man,n.,an adult male human,an adult male human,成年男子,4.0,A1,foundation,daily_life_people_and_family,,/mæn/,man_us.mp3,zk gk,5,91,94,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
woman_n_1,woman,n.,an adult female human,an adult female human,成年女子,4.0,A1,foundation,daily_life_people_and_family,,/ˈwʊmən/,woman_us.mp3,zk gk,5,130,111,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
age_n_1,age,n.,the number of years that a person has lived or a thing has existed,the number of years that a person has lived or a thing has existed,年龄,4.0,A1,foundation,daily_life_people_and_family,,/eɪdʒ/,age_us.mp3,zk gk toefl ielts,5,363,386,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
relative_n_1,relative,n.,person who is in the same family as somebody else,person who is in the same family as somebody else,亲戚,4.0,B1,foundation,daily_life_people_and_family,,/ˈrelətɪv/,relative_us.mp3,gk cet4 cet6 ky,3,2255,2428,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
grandmother_n_1,grandmother,n.,the mother of your father or mother,the mother of your father or mother,祖母；外祖母,4.0,A1,foundation,daily_life_people_and_family,,/ˈɡrænmʌðər/,grandmother_us.mp3,zk cet4 cet6 ky,2,4338,2495,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
people_n_1,people,n.,"human beings; men, women and children","human beings; men, women and children",人们,4.0,A1,foundation,daily_life_people_and_family,,/ˈpiːpl/,people_us.mp3,zk gk,5,75,62,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
grandfather_n_1,grandfather,n.,the father of your father or mother,the father of your father or mother,祖父；外祖父,4.0,A1,foundation,daily_life_people_and_family,,/ˈɡrænfɑːðər/,grandfather_us.mp3,zk cet4 cet6,2,4184,2950,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
friend_n_1,friend,n.,"person you know well and like, and who is not usually a member of your family","person you know well and like, and who is not usually a member of your family",朋友,4.0,A1,foundation,daily_life_people_and_family,,/frend/,friend_us.mp3,zk gk,5,281,265,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
kid_n_1,kid,n.,child or young person,child or young person,小孩；孩子,4.0,A2,foundation,daily_life_people_and_family,,/kɪd/,kid_us.mp3,zk gk cet4 ky,4,1572,312,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
mom_n_1,mom,n.,informal terms for a mother,informal terms for a mother,妈妈,4.0,,foundation,daily_life_people_and_family,,mʌm,,zk,2,13335,1609,ECDICT,ECDICT,mit_dataset,F,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
name_n_1,name,n.,"word or words that a particular person, animal, place or thing is known by","word or words that a particular person, animal, place or thing is known by",名字；姓名,4.0,A1,foundation,daily_life_people_and_family,,/neɪm/,name_us.mp3,zk gk,5,271,298,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
young_adj_1,young,adj.,having lived or existed for only a short time; not fully developed,having lived or existed for only a short time; not fully developed,年轻的；年幼的,4.0,A1,foundation,daily_life_people_and_family,,/jʌŋ/,young_us.mp3,zk gk,5,228,234,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
grandparent_n_1,grandparent,n.,the father or mother of your father or mother,the father or mother of your father or mother,祖父母；外祖父母,4.0,A1,foundation,daily_life_people_and_family,,/ˈɡrænperənt/,grandparent_us.mp3,zk,1,7634,4679,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
old_adj_1,old,adj.,having lived for many years; no longer young,having lived for many years; no longer young,年老的,4.0,A1,foundation,daily_life_people_and_family,,/əʊld/,old_us.mp3,zk gk,5,126,152,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
partner_n_1,partner,n.,a person you do an activity with or share a relationship with,a person you do an activity with or share a relationship with,搭档；伴侣,4.0,A1,foundation,daily_life_people_and_family,,/ˈpɑːrtnər/,partner_us.mp3,gk cet4 cet6 ky,4,1144,1048,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
teenager_n_1,teenager,n.,person who is between 13 and 19 years old,person who is between 13 and 19 years old,青少年,4.0,A1,foundation,daily_life_people_and_family,,/ˈtiːneɪdʒər/,teenager_us.mp3,gk cet4 cet6 ky,3,3812,2440,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
twin_n_1,twin,n.,one of two children born at the same time to the same mother,one of two children born at the same time to the same mother,双胞胎之一,4.0,A2,foundation,daily_life_people_and_family,,/twɪn/,twin_us.mp3,gk cet4 cet6 ky,3,2884,2376,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
grandson_n_1,grandson,n.,a male grandchild,a male grandchild,孙子；外孙,4.0,,foundation,daily_life_people_and_family,,'grændsʌn,,zk gk cet4 cet6,1,6942,6641,ECDICT,ECDICT,mit_dataset,F,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
granddaughter_n_1,granddaughter,n.,a female grandchild,a female grandchild,孙女；外孙女,4.0,,foundation,daily_life_people_and_family,,'^rændɔ:tә(r),,zk gk cet4 cet6,1,11766,8528,ECDICT,ECDICT,mit_dataset,F,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
nephew_n_1,nephew,n.,a son of your brother or sister,a son of your brother or sister,侄子；外甥,4.0,A2,foundation,daily_life_people_and_family,,'nefju:,,gk cet4 cet6 ky,1,6440,6362,ECDICT,ECDICT,mit_dataset,F,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
neighbor_n_1,neighbor,n.,a person who lives (or is located) near another,a person who lives (or is located) near another,邻居,4.0,,foundation,daily_life_people_and_family,,'neibә,,ky toefl,,0,1424,ECDICT,ECDICT,mit_dataset,F,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
niece_n_1,niece,n.,a daughter of your brother or sister,a daughter of your brother or sister,侄女；外甥女,4.0,A2,foundation,daily_life_people_and_family,,ni:s,,gk cet4 cet6 ky,1,7967,7475,ECDICT,ECDICT,mit_dataset,F,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
short_adj_1,short,adj.,having a small height or length,having a small height or length,矮的；短的,4.0,A1,foundation,daily_life_people_and_family,,/ʃɔːrt/,short_us.mp3,zk gk ielts,2,500,627,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
grow_v_1,grow,v.,"to become larger, taller, or more developed","to become larger, taller, or more developed",成长；长大,4.0,A1,foundation,daily_life_people_and_family,,/ɡrəʊ/,grow_us.mp3,zk gk,5,524,353,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
birth_n_1,birth,n.,the time when a baby is born; the process of being born,the time when a baby is born; the process of being born,出生,4.0,A2,foundation,daily_life_people_and_family,,/bɜːrθ/,birth_us.mp3,zk gk cet4 ky ielts,3,1590,1499,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
heavy_adj_1,heavy,adj.,weighing a lot; difficult to lift or move,weighing a lot; difficult to lift or move,重的,4.0,A2,foundation,daily_life_people_and_family,,/ˈhevi/,heavy_us.mp3,zk gk ielts,4,943,1005,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
strong_adj_1,strong,adj.,"having a lot of physical power so that you can lift heavy weights, do hard physical work, etc.","having a lot of physical power so that you can lift heavy weights, do hard physical work, etc.",强壮的,4.0,A1,foundation,daily_life_people_and_family,,/strɔːŋ/,strong_us.mp3,zk gk,5,506,458,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
height_n_1,height,n.,the measurement of how tall a person or thing is,the measurement of how tall a person or thing is,身高；高度,4.0,A2,foundation,daily_life_people_and_family,,/haɪt/,height_us.mp3,zk gk cet4 cet6 ky toefl ielts,3,1913,2040,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
face_n_1,face,n.,"the front part of the head, where the eyes, nose and mouth are","the front part of the head, where the eyes, nose and mouth are",脸；面部,4.0,A1,foundation,daily_life_people_and_family,,/feɪs/,face_us.mp3,zk gk toefl ielts,5,282,330,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
beautiful_adj_1,beautiful,adj.,having beauty; giving pleasure to the senses or to the mind,having beauty; giving pleasure to the senses or to the mind,美丽的,4.0,A1,foundation,daily_life_people_and_family,,/ˈbjuːtɪfl/,beautiful_us.mp3,zk gk ielts,4,1161,992,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
youth_n_1,youth,n.,"the time of life when a person is young, especially the time before a child becomes an adult","the time of life when a person is young, especially the time before a child becomes an adult",青春时期；年轻时期,4.0,B1,foundation,daily_life_people_and_family,,/juːθ/,youth_us.mp3,gk cet4 cet6 ky ielts,4,1508,1397,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
eye_n_1,eye,n.,either of the two organs on the face that you see with,either of the two organs on the face that you see with,眼睛,4.0,A1,foundation,daily_life_people_and_family,,/aɪ/,eye_us.mp3,zk gk ielts,5,219,242,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
tall_adj_1,tall,adj.,having a greater than average height,having a greater than average height,高的,4.0,A1,foundation,daily_life_people_and_family,,/tɔːl/,tall_us.mp3,zk gk,3,1757,1524,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
born_v_1,born,adj.,brought into life by birth,brought into life by birth,出生的；天生的,4.0,A1,foundation,daily_life_people_and_family,,/bɔːrn/,born_us.mp3,zk gk cet4 ky,4,1206,1088,CURATED_FROM_SOURCES,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
hair_n_1,hair,n.,the substance that looks like a mass of fine threads growing on a person's head,the substance that looks like a mass of fine threads growing on a person's head,头发,4.0,A1,foundation,daily_life_people_and_family,,/her/,hair_us.mp3,zk gk,4,668,602,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
pretty_adj_1,pretty,adj.,attractive without being very beautiful,attractive without being very beautiful,漂亮的,4.0,A1,foundation,daily_life_people_and_family,,/ˈprɪti/,pretty_us.mp3,zk gk cet4 cet6 ky,4,1782,797,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
thin_adj_1,thin,adj.,having little fat on the body,having little fat on the body,瘦的,4.0,A2,foundation,daily_life_people_and_family,,/θɪn/,thin_us.mp3,zk gk toefl,3,1670,1621,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
healthy_adj_1,healthy,adj.,having good health and not likely to become ill,having good health and not likely to become ill,健康的,4.0,A1,foundation,daily_life_people_and_family,,/ˈhelθi/,healthy_us.mp3,zk gk,3,2199,1468,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
weak_adj_1,weak,adj.,not physically strong,not physically strong,虚弱的,4.0,A2,foundation,daily_life_people_and_family,,/wiːk/,weak_us.mp3,zk gk cet4 cet6 ky,4,1990,2070,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
hand_n_1,hand,n.,"the part of the body at the end of the arm, including the fingers and thumb","the part of the body at the end of the arm, including the fingers and thumb",手,4.0,A1,foundation,daily_life_people_and_family,,/hænd/,hand_us.mp3,zk gk ielts,4,163,174,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
foot_n_1,foot,n.,"the lowest part of the leg, below the ankle, on which a person or an animal stands","the lowest part of the leg, below the ankle, on which a person or an animal stands",脚,4.0,A1,foundation,daily_life_people_and_family,,/fʊt/,foot_us.mp3,zk gk ielts,5,459,380,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
head_n_1,head,n.,"the part of the body on top of the neck containing the eyes, nose, mouth and brain","the part of the body on top of the neck containing the eyes, nose, mouth and brain",头；头部,4.0,A1,foundation,daily_life_people_and_family,,/hed/,head_us.mp3,zk gk toefl,5,209,251,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
body_n_1,body,n.,the whole physical structure of a human or an animal,the whole physical structure of a human or an animal,身体,4.0,A1,foundation,daily_life_people_and_family,,/ˈbɑːdi/,body_us.mp3,zk,5,274,313,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
arm_n_1,arm,n.,either of the two long parts that stick out from the top of the body and connect the shoulders to the hands,either of the two long parts that stick out from the top of the body and connect the shoulders to the hands,手臂,4.0,A1,foundation,daily_life_people_and_family,,/ɑːrm/,arm_us.mp3,zk gk,5,491,491,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
nose_n_1,nose,n.,"the part of the face that sticks out above the mouth, used for breathing and smelling things","the part of the face that sticks out above the mouth, used for breathing and smelling things",鼻子,4.0,A1,foundation,daily_life_people_and_family,,/nəʊz/,nose_us.mp3,zk gk,3,1887,1735,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
mouth_n_1,mouth,n.,"the opening in the face used for speaking, eating, etc.; the area inside the head behind this opening","the opening in the face used for speaking, eating, etc.; the area inside the head behind this opening",嘴；口腔,4.0,A1,foundation,daily_life_people_and_family,,/maʊθ/,mouth_us.mp3,zk gk toefl,4,1011,1060,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
