option_id,question_id,option_text,target_sense_id,is_correct,sort_order,human_review
opt_q_1_son_n_1_context_f5fbab304ddf_4,q_1_son_n_1_context_f5fbab304ddf,儿子,son_n_1,T,4,F
opt_q_1_daughter_n_1_meaning_1e6a5e8b4192_1,q_1_daughter_n_1_meaning_1e6a5e8b4192,person,person_n_1,F,1,F
opt_q_1_daughter_n_1_meaning_1e6a5e8b4192_2,q_1_daughter_n_1_meaning_1e6a5e8b4192,child,child_n_1,F,2,F
opt_q_1_daughter_n_1_meaning_1e6a5e8b4192_3,q_1_daughter_n_1_meaning_1e6a5e8b4192,people,people_n_1,F,3,F
opt_q_1_daughter_n_1_meaning_1e6a5e8b4192_4,q_1_daughter_n_1_meaning_1e6a5e8b4192,daughter,daughter_n_1,T,4,F
opt_q_1_daughter_n_1_context_48a5499cfd80_1,q_1_daughter_n_1_context_48a5499cfd80,儿童；孩子,child_n_1,F,1,F
opt_q_1_daughter_n_1_context_48a5499cfd80_2,q_1_daughter_n_1_context_48a5499cfd80,人；个人,person_n_1,F,2,F
opt_q_1_daughter_n_1_context_48a5499cfd80_3,q_1_daughter_n_1_context_48a5499cfd80,人们,people_n_1,F,3,F
opt_q_1_daughter_n_1_context_48a5499cfd80_4,q_1_daughter_n_1_context_48a5499cfd80,女儿,daughter_n_1,T,4,F
opt_q_1_baby_n_1_meaning_65fd5b0163e8_1,q_1_baby_n_1_meaning_65fd5b0163e8,child,child_n_1,F,1,F
opt_q_1_baby_n_1_meaning_65fd5b0163e8_2,q_1_baby_n_1_meaning_65fd5b0163e8,nephew,nephew_n_1,F,2,F
opt_q_1_baby_n_1_meaning_65fd5b0163e8_3,q_1_baby_n_1_meaning_65fd5b0163e8,adult,adult_n_1,F,3,F
opt_q_1_baby_n_1_meaning_65fd5b0163e8_4,q_1_baby_n_1_meaning_65fd5b0163e8,baby,baby_n_1,T,4,F
opt_q_1_baby_n_1_context_7136e1c0b0c6_1,q_1_baby_n_1_context_7136e1c0b0c6,婴儿,baby_n_1,T,1,F
opt_q_1_baby_n_1_context_7136e1c0b0c6_2,q_1_baby_n_1_context_7136e1c0b0c6,儿童；孩子,child_n_1,F,2,F
opt_q_1_baby_n_1_context_7136e1c0b0c6_3,q_1_baby_n_1_context_7136e1c0b0c6,侄子；外甥,nephew_n_1,F,3,F
opt_q_1_baby_n_1_context_7136e1c0b0c6_4,q_1_baby_n_1_context_7136e1c0b0c6,成年人,adult_n_1,F,4,F
opt_q_1_brother_n_1_meaning_68522555df9d_1,q_1_brother_n_1_meaning_68522555df9d,relative,relative_n_1,F,1,F
opt_q_1_brother_n_1_meaning_68522555df9d_2,q_1_brother_n_1_meaning_68522555df9d,brother,brother_n_1,T,2,F
opt_q_1_brother_n_1_meaning_68522555df9d_3,q_1_brother_n_1_meaning_68522555df9d,granddaughter,granddaughter_n_1,F,3,F
opt_q_1_brother_n_1_meaning_68522555df9d_4,q_1_brother_n_1_meaning_68522555df9d,parent,parent_n_1,F,4,F
opt_q_1_brother_n_1_context_c1d6f04218fa_1,q_1_brother_n_1_context_c1d6f04218fa,父亲或母亲,parent_n_1,F,1,F
opt_q_1_brother_n_1_context_c1d6f04218fa_2,q_1_brother_n_1_context_c1d6f04218fa,兄弟；哥哥；弟弟,brother_n_1,T,2,F
opt_q_1_brother_n_1_context_c1d6f04218fa_3,q_1_brother_n_1_context_c1d6f04218fa,亲戚,relative_n_1,F,3,F
opt_q_1_brother_n_1_context_c1d6f04218fa_4,q_1_brother_n_1_context_c1d6f04218fa,孙女；外孙女,granddaughter_n_1,F,4,F
opt_q_1_dad_n_1_meaning_b5d6a6294589_1,q_1_dad_n_1_meaning_b5d6a6294589,baby,baby_n_1,F,1,F
opt_q_1_dad_n_1_meaning_b5d6a6294589_2,q_1_dad_n_1_meaning_b5d6a6294589,kid,kid_n_1,F,2,F
opt_q_1_dad_n_1_meaning_b5d6a6294589_3,q_1_dad_n_1_meaning_b5d6a6294589,dad,dad_n_1,T,3,F
opt_q_1_dad_n_1_meaning_b5d6a6294589_4,q_1_dad_n_1_meaning_b5d6a6294589,mother,mother_n_1,F,4,F
opt_q_1_dad_n_1_context_f88a3956df1b_1,q_1_dad_n_1_context_f88a3956df1b,婴儿,baby_n_1,F,1,F
opt_q_1_dad_n_1_context_f88a3956df1b_2,q_1_dad_n_1_context_f88a3956df1b,母亲；妈妈,mother_n_1,F,2,F
opt_q_1_dad_n_1_context_f88a3956df1b_3,q_1_dad_n_1_context_f88a3956df1b,爸爸,dad_n_1,T,3,F
opt_q_1_dad_n_1_context_f88a3956df1b_4,q_1_dad_n_1_context_f88a3956df1b,小孩；孩子,kid_n_1,F,4,F
opt_q_1_husband_n_1_meaning_fe3e25f90bd6_1,q_1_husband_n_1_meaning_fe3e25f90bd6,husband,husband_n_1,T,1,F
opt_q_1_husband_n_1_meaning_fe3e25f90bd6_2,q_1_husband_n_1_meaning_fe3e25f90bd6,teenager,teenager_n_1,F,2,F
opt_q_1_husband_n_1_meaning_fe3e25f90bd6_3,q_1_husband_n_1_meaning_fe3e25f90bd6,family,family_n_1,F,3,F
opt_q_1_husband_n_1_meaning_fe3e25f90bd6_4,q_1_husband_n_1_meaning_fe3e25f90bd6,friend,friend_n_1,F,4,F
opt_q_1_husband_n_1_context_80be7d77cf12_1,q_1_husband_n_1_context_80be7d77cf12,青少年,teenager_n_1,F,1,F
opt_q_1_husband_n_1_context_80be7d77cf12_2,q_1_husband_n_1_context_80be7d77cf12,丈夫,husband_n_1,T,2,F
opt_q_1_husband_n_1_context_80be7d77cf12_3,q_1_husband_n_1_context_80be7d77cf12,家庭；家人,family_n_1,F,3,F
opt_q_1_husband_n_1_context_80be7d77cf12_4,q_1_husband_n_1_context_80be7d77cf12,朋友,friend_n_1,F,4,F
opt_q_1_wife_n_1_meaning_30c72c4eca3a_1,q_1_wife_n_1_meaning_30c72c4eca3a,child,child_n_1,F,1,F
opt_q_1_wife_n_1_meaning_30c72c4eca3a_2,q_1_wife_n_1_meaning_30c72c4eca3a,father,father_n_1,F,2,F
opt_q_1_wife_n_1_meaning_30c72c4eca3a_3,q_1_wife_n_1_meaning_30c72c4eca3a,mom,mom_n_1,F,3,F
opt_q_1_wife_n_1_meaning_30c72c4eca3a_4,q_1_wife_n_1_meaning_30c72c4eca3a,wife,wife_n_1,T,4,F
opt_q_1_wife_n_1_context_1142dfba0bcf_1,q_1_wife_n_1_context_1142dfba0bcf,妻子；太太,wife_n_1,T,1,F
opt_q_1_wife_n_1_context_1142dfba0bcf_2,q_1_wife_n_1_context_1142dfba0bcf,儿童；孩子,child_n_1,F,2,F
opt_q_1_wife_n_1_context_1142dfba0bcf_3,q_1_wife_n_1_context_1142dfba0bcf,妈妈,mom_n_1,F,3,F
opt_q_1_wife_n_1_context_1142dfba0bcf_4,q_1_wife_n_1_context_1142dfba0bcf,父亲；爸爸,father_n_1,F,4,F
opt_q_1_sister_n_1_meaning_10420c3caeaa_1,q_1_sister_n_1_meaning_10420c3caeaa,parent,parent_n_1,F,1,F
opt_q_1_sister_n_1_meaning_10420c3caeaa_2,q_1_sister_n_1_meaning_10420c3caeaa,people,people_n_1,F,2,F
opt_q_1_sister_n_1_meaning_10420c3caeaa_3,q_1_sister_n_1_meaning_10420c3caeaa,nephew,nephew_n_1,F,3,F
opt_q_1_sister_n_1_meaning_10420c3caeaa_4,q_1_sister_n_1_meaning_10420c3caeaa,sister,sister_n_1,T,4,F
opt_q_1_sister_n_1_context_ccbca93cda24_1,q_1_sister_n_1_context_ccbca93cda24,侄子；外甥,nephew_n_1,F,1,F
opt_q_1_sister_n_1_context_ccbca93cda24_2,q_1_sister_n_1_context_ccbca93cda24,父亲或母亲,parent_n_1,F,2,F
opt_q_1_sister_n_1_context_ccbca93cda24_3,q_1_sister_n_1_context_ccbca93cda24,人们,people_n_1,F,3,F
opt_q_1_sister_n_1_context_ccbca93cda24_4,q_1_sister_n_1_context_ccbca93cda24,姐妹；姐姐；妹妹,sister_n_1,T,4,F
opt_q_1_couple_n_1_meaning_26f1f6a68fc3_1,q_1_couple_n_1_meaning_26f1f6a68fc3,mom,mom_n_1,F,1,F
opt_q_1_couple_n_1_meaning_26f1f6a68fc3_2,q_1_couple_n_1_meaning_26f1f6a68fc3,partner,partner_n_1,F,2,F
opt_q_1_couple_n_1_meaning_26f1f6a68fc3_3,q_1_couple_n_1_meaning_26f1f6a68fc3,person,person_n_1,F,3,F
opt_q_1_couple_n_1_meaning_26f1f6a68fc3_4,q_1_couple_n_1_meaning_26f1f6a68fc3,couple,couple_n_1,T,4,F
opt_q_1_couple_n_1_context_415f5be321dd_1,q_1_couple_n_1_context_415f5be321dd,妈妈,mom_n_1,F,1,F
opt_q_1_couple_n_1_context_415f5be321dd_2,q_1_couple_n_1_context_415f5be321dd,夫妻；情侣,couple_n_1,T,2,F
opt_q_1_couple_n_1_context_415f5be321dd_3,q_1_couple_n_1_context_415f5be321dd,搭档；伴侣,partner_n_1,F,3,F
opt_q_1_couple_n_1_context_415f5be321dd_4,q_1_couple_n_1_context_415f5be321dd,人；个人,person_n_1,F,4,F
opt_q_1_married_adj_1_meaning_8625f1fd219b_1,q_1_married_adj_1_meaning_8625f1fd219b,sister,sister_n_1,F,1,F
opt_q_1_married_adj_1_meaning_8625f1fd219b_2,q_1_married_adj_1_meaning_8625f1fd219b,grandmother,grandmother_n_1,F,2,F
opt_q_1_married_adj_1_meaning_8625f1fd219b_3,q_1_married_adj_1_meaning_8625f1fd219b,adult,adult_n_1,F,3,F
opt_q_1_married_adj_1_meaning_8625f1fd219b_4,q_1_married_adj_1_meaning_8625f1fd219b,married,married_adj_1,T,4,F
opt_q_1_married_adj_1_context_ecb070da9293_1,q_1_married_adj_1_context_ecb070da9293,成年人,adult_n_1,F,1,F
opt_q_1_married_adj_1_context_ecb070da9293_2,q_1_married_adj_1_context_ecb070da9293,姐妹；姐姐；妹妹,sister_n_1,F,2,F
opt_q_1_married_adj_1_context_ecb070da9293_3,q_1_married_adj_1_context_ecb070da9293,已婚的,married_adj_1,T,3,F
opt_q_1_married_adj_1_context_ecb070da9293_4,q_1_married_adj_1_context_ecb070da9293,祖母；外祖母,grandmother_n_1,F,4,F
opt_q_1_adult_n_1_meaning_e0df58fcb47a_1,q_1_adult_n_1_meaning_e0df58fcb47a,marriage,marriage_n_1,F,1,F
opt_q_1_adult_n_1_meaning_e0df58fcb47a_2,q_1_adult_n_1_meaning_e0df58fcb47a,adult,adult_n_1,T,2,F
opt_q_1_adult_n_1_meaning_e0df58fcb47a_3,q_1_adult_n_1_meaning_e0df58fcb47a,kid,kid_n_1,F,3,F
opt_q_1_adult_n_1_meaning_e0df58fcb47a_4,q_1_adult_n_1_meaning_e0df58fcb47a,grandfather,grandfather_n_1,F,4,F
opt_q_1_adult_n_1_context_09d6fb7106f4_1,q_1_adult_n_1_context_09d6fb7106f4,祖父；外祖父,grandfather_n_1,F,1,F
opt_q_1_adult_n_1_context_09d6fb7106f4_2,q_1_adult_n_1_context_09d6fb7106f4,婚姻,marriage_n_1,F,2,F
opt_q_1_adult_n_1_context_09d6fb7106f4_3,q_1_adult_n_1_context_09d6fb7106f4,小孩；孩子,kid_n_1,F,3,F
opt_q_1_adult_n_1_context_09d6fb7106f4_4,q_1_adult_n_1_context_09d6fb7106f4,成年人,adult_n_1,T,4,F
opt_q_1_person_n_1_meaning_91022a3abb4f_1,q_1_person_n_1_meaning_91022a3abb4f,uncle,uncle_n_1,F,1,F
opt_q_1_person_n_1_meaning_91022a3abb4f_2,q_1_person_n_1_meaning_91022a3abb4f,age,age_n_1,F,2,F
opt_q_1_person_n_1_meaning_91022a3abb4f_3,q_1_person_n_1_meaning_91022a3abb4f,person,person_n_1,T,3,F
opt_q_1_person_n_1_meaning_91022a3abb4f_4,q_1_person_n_1_meaning_91022a3abb4f,grandfather,grandfather_n_1,F,4,F
opt_q_1_person_n_1_context_544f3b54d04d_1,q_1_person_n_1_context_544f3b54d04d,年龄,age_n_1,F,1,F
opt_q_1_person_n_1_context_544f3b54d04d_2,q_1_person_n_1_context_544f3b54d04d,祖父；外祖父,grandfather_n_1,F,2,F
opt_q_1_person_n_1_context_544f3b54d04d_3,q_1_person_n_1_context_544f3b54d04d,叔叔；伯伯；舅舅；姨父,uncle_n_1,F,3,F
opt_q_1_person_n_1_context_544f3b54d04d_4,q_1_person_n_1_context_544f3b54d04d,人；个人,person_n_1,T,4,F
opt_q_1_aunt_n_1_meaning_0838285744d1_1,q_1_aunt_n_1_meaning_0838285744d1,aunt,aunt_n_1,T,1,F
opt_q_1_aunt_n_1_meaning_0838285744d1_2,q_1_aunt_n_1_meaning_0838285744d1,friend,friend_n_1,F,2,F
opt_q_1_aunt_n_1_meaning_0838285744d1_3,q_1_aunt_n_1_meaning_0838285744d1,man,man_n_1,F,3,F
opt_q_1_aunt_n_1_meaning_0838285744d1_4,q_1_aunt_n_1_meaning_0838285744d1,woman,woman_n_1,F,4,F
opt_q_1_aunt_n_1_context_a02ca5a11cf0_1,q_1_aunt_n_1_context_a02ca5a11cf0,朋友,friend_n_1,F,1,F
opt_q_1_aunt_n_1_context_a02ca5a11cf0_2,q_1_aunt_n_1_context_a02ca5a11cf0,姑妈；姨妈；伯母；婶母,aunt_n_1,T,2,F
opt_q_1_aunt_n_1_context_a02ca5a11cf0_3,q_1_aunt_n_1_context_a02ca5a11cf0,成年男子,man_n_1,F,3,F
opt_q_1_aunt_n_1_context_a02ca5a11cf0_4,q_1_aunt_n_1_context_a02ca5a11cf0,成年女子,woman_n_1,F,4,F
opt_q_1_boy_n_1_meaning_d9cd23564426_1,q_1_boy_n_1_meaning_d9cd23564426,boy,boy_n_1,T,1,F
opt_q_1_boy_n_1_meaning_d9cd23564426_2,q_1_boy_n_1_meaning_d9cd23564426,person,person_n_1,F,2,F
opt_q_1_boy_n_1_meaning_d9cd23564426_3,q_1_boy_n_1_meaning_d9cd23564426,uncle,uncle_n_1,F,3,F
opt_q_1_boy_n_1_meaning_d9cd23564426_4,q_1_boy_n_1_meaning_d9cd23564426,daughter,daughter_n_1,F,4,F
opt_q_1_boy_n_1_context_4b8fa492dcdf_1,q_1_boy_n_1_context_4b8fa492dcdf,叔叔；伯伯；舅舅；姨父,uncle_n_1,F,1,F
opt_q_1_boy_n_1_context_4b8fa492dcdf_2,q_1_boy_n_1_context_4b8fa492dcdf,女儿,daughter_n_1,F,2,F
opt_q_1_boy_n_1_context_4b8fa492dcdf_3,q_1_boy_n_1_context_4b8fa492dcdf,男孩,boy_n_1,T,3,F
opt_q_1_boy_n_1_context_4b8fa492dcdf_4,q_1_boy_n_1_context_4b8fa492dcdf,人；个人,person_n_1,F,4,F
opt_q_1_girl_n_1_meaning_d588dc9859ec_1,q_1_girl_n_1_meaning_d588dc9859ec,adult,adult_n_1,F,1,F
opt_q_1_girl_n_1_meaning_d588dc9859ec_2,q_1_girl_n_1_meaning_d588dc9859ec,cousin,cousin_n_1,F,2,F
opt_q_1_girl_n_1_meaning_d588dc9859ec_3,q_1_girl_n_1_meaning_d588dc9859ec,age,age_n_1,F,3,F
opt_q_1_girl_n_1_meaning_d588dc9859ec_4,q_1_girl_n_1_meaning_d588dc9859ec,girl,girl_n_1,T,4,F
opt_q_1_girl_n_1_context_bb1070990067_1,q_1_girl_n_1_context_bb1070990067,女孩,girl_n_1,T,1,F
opt_q_1_girl_n_1_context_bb1070990067_2,q_1_girl_n_1_context_bb1070990067,成年人,adult_n_1,F,2,F
opt_q_1_girl_n_1_context_bb1070990067_3,q_1_girl_n_1_context_bb1070990067,堂兄弟姐妹；表兄弟姐妹,cousin_n_1,F,3,F
opt_q_1_girl_n_1_context_bb1070990067_4,q_1_girl_n_1_context_bb1070990067,年龄,age_n_1,F,4,F
opt_q_1_marriage_n_1_meaning_aaa59d5e40b1_1,q_1_marriage_n_1_meaning_aaa59d5e40b1,grandmother,grandmother_n_1,F,1,F
opt_q_1_marriage_n_1_meaning_aaa59d5e40b1_2,q_1_marriage_n_1_meaning_aaa59d5e40b1,woman,woman_n_1,F,2,F
opt_q_1_marriage_n_1_meaning_aaa59d5e40b1_3,q_1_marriage_n_1_meaning_aaa59d5e40b1,neighbor,neighbor_n_1,F,3,F
opt_q_1_marriage_n_1_meaning_aaa59d5e40b1_4,q_1_marriage_n_1_meaning_aaa59d5e40b1,marriage,marriage_n_1,T,4,F
opt_q_1_marriage_n_1_context_b2aa11a6e861_1,q_1_marriage_n_1_context_b2aa11a6e861,祖母；外祖母,grandmother_n_1,F,1,F
opt_q_1_marriage_n_1_context_b2aa11a6e861_2,q_1_marriage_n_1_context_b2aa11a6e861,成年女子,woman_n_1,F,2,F
opt_q_1_marriage_n_1_context_b2aa11a6e861_3,q_1_marriage_n_1_context_b2aa11a6e861,邻居,neighbor_n_1,F,3,F
opt_q_1_marriage_n_1_context_b2aa11a6e861_4,q_1_marriage_n_1_context_b2aa11a6e861,婚姻,marriage_n_1,T,4,F
opt_q_1_uncle_n_1_meaning_073ef93858bf_1,q_1_uncle_n_1_meaning_073ef93858bf,father,father_n_1,F,1,F
opt_q_1_uncle_n_1_meaning_073ef93858bf_2,q_1_uncle_n_1_meaning_073ef93858bf,daughter,daughter_n_1,F,2,F
opt_q_1_uncle_n_1_meaning_073ef93858bf_3,q_1_uncle_n_1_meaning_073ef93858bf,wife,wife_n_1,F,3,F
opt_q_1_uncle_n_1_meaning_073ef93858bf_4,q_1_uncle_n_1_meaning_073ef93858bf,uncle,uncle_n_1,T,4,F
opt_q_1_uncle_n_1_context_d0d4cc0deca0_1,q_1_uncle_n_1_context_d0d4cc0deca0,父亲；爸爸,father_n_1,F,1,F
opt_q_1_uncle_n_1_context_d0d4cc0deca0_2,q_1_uncle_n_1_context_d0d4cc0deca0,女儿,daughter_n_1,F,2,F
opt_q_1_uncle_n_1_context_d0d4cc0deca0_3,q_1_uncle_n_1_context_d0d4cc0deca0,叔叔；伯伯；舅舅；姨父,uncle_n_1,T,3,F
opt_q_1_uncle_n_1_context_d0d4cc0deca0_4,q_1_uncle_n_1_context_d0d4cc0deca0,妻子；太太,wife_n_1,F,4,F
opt_q_1_cousin_n_1_meaning_80a8f96ed770_1,q_1_cousin_n_1_meaning_80a8f96ed770,family,family_n_1,F,1,F
opt_q_1_cousin_n_1_meaning_80a8f96ed770_2,q_1_cousin_n_1_meaning_80a8f96ed770,cousin,cousin_n_1,T,2,F
opt_q_1_cousin_n_1_meaning_80a8f96ed770_3,q_1_cousin_n_1_meaning_80a8f96ed770,adult,adult_n_1,F,3,F
opt_q_1_cousin_n_1_meaning_80a8f96ed770_4,q_1_cousin_n_1_meaning_80a8f96ed770,wife,wife_n_1,F,4,F
opt_q_1_cousin_n_1_context_4c1bc8b617e1_1,q_1_cousin_n_1_context_4c1bc8b617e1,家庭；家人,family_n_1,F,1,F
opt_q_1_cousin_n_1_context_4c1bc8b617e1_2,q_1_cousin_n_1_context_4c1bc8b617e1,堂兄弟姐妹；表兄弟姐妹,cousin_n_1,T,2,F
opt_q_1_cousin_n_1_context_4c1bc8b617e1_3,q_1_cousin_n_1_context_4c1bc8b617e1,妻子；太太,wife_n_1,F,3,F
opt_q_1_cousin_n_1_context_4c1bc8b617e1_4,q_1_cousin_n_1_context_4c1bc8b617e1,成年人,adult_n_1,F,4,F
opt_q_1_man_n_1_meaning_fece988daeb9_1,q_1_man_n_1_meaning_fece988daeb9,boy,boy_n_1,F,1,F
opt_q_1_man_n_1_meaning_fece988daeb9_2,q_1_man_n_1_meaning_fece988daeb9,parent,parent_n_1,F,2,F
opt_q_1_man_n_1_meaning_fece988daeb9_3,q_1_man_n_1_meaning_fece988daeb9,man,man_n_1,T,3,F
opt_q_1_man_n_1_meaning_fece988daeb9_4,q_1_man_n_1_meaning_fece988daeb9,grandfather,grandfather_n_1,F,4,F
opt_q_1_man_n_1_context_86c10216724b_1,q_1_man_n_1_context_86c10216724b,成年男子,man_n_1,T,1,F
opt_q_1_man_n_1_context_86c10216724b_2,q_1_man_n_1_context_86c10216724b,男孩,boy_n_1,F,2,F
opt_q_1_man_n_1_context_86c10216724b_3,q_1_man_n_1_context_86c10216724b,父亲或母亲,parent_n_1,F,3,F
opt_q_1_man_n_1_context_86c10216724b_4,q_1_man_n_1_context_86c10216724b,祖父；外祖父,grandfather_n_1,F,4,F
opt_q_1_woman_n_1_meaning_fd9a168ebcb8_1,q_1_woman_n_1_meaning_fd9a168ebcb8,woman,woman_n_1,T,1,F
opt_q_1_woman_n_1_meaning_fd9a168ebcb8_2,q_1_woman_n_1_meaning_fd9a168ebcb8,name,name_n_1,F,2,F
opt_q_1_woman_n_1_meaning_fd9a168ebcb8_3,q_1_woman_n_1_meaning_fd9a168ebcb8,brother,brother_n_1,F,3,F
opt_q_1_woman_n_1_meaning_fd9a168ebcb8_4,q_1_woman_n_1_meaning_fd9a168ebcb8,adult,adult_n_1,F,4,F
opt_q_1_woman_n_1_context_fbfdf0db3196_1,q_1_woman_n_1_context_fbfdf0db3196,兄弟；哥哥；弟弟,brother_n_1,F,1,F
