headword,ecdict_phonetic,ecdict_pos_raw,ecdict_primary_pos,ecdict_definition_en,ecdict_translation_zh,ecdict_collins,ecdict_oxford,ecdict_tags,ecdict_bnc_rank,ecdict_frq_rank,ecdict_exchange,oxford_cefr_levels,oxford_pos_values,oxford_entry_count,webster_fallback_available,source_coverage,human_review,review_reason
about,ә'baut,,,s. on the move,"prep. 在...周围, 大约, 有关, 关于",5,T,zk gk,63,46,,A1,adv.|prep.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
above,ә'bʌv,,,n. an earlier section of a written text,"prep. 在上方, 超出",4,T,zk gk,733,893,,A1,adv.|prep.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
abraham,"'eibrәhæm, -hәm",,,"n. the first of the Old Testament patriarchs and the father of Isaac; according to Genesis, God promised to give Abraham's family (the Hebrews) the land of Canaan (the Promised Land); God tested Abraham by asking him to sacrifice his son",n. 亚伯拉罕（男子名）,,F,,9098,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
abroad,ә'brɒ:d,,,s. in a foreign country,"adv. 往国外, 到室外, 到处",3,T,zk gk toefl,2243,3363,,A2,adv.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
abrupt,ә'brʌpt,,,s. marked by sudden changes in subject and sharp transitions,"a. 突然的, 唐突的, 陡峭的, 不连贯的",2,F,gk cet6 ky toefl ielts gre,8560,8703,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
abruptly,ә'brʌptli,,,r. quickly and without warning,"adv. 突然地, 唐突地",,F,,5144,5243,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
abs,,,,n any of a class of composite plastics used to make car bodies and cases for computers and other appliances,"[计] 绝对, 美国标准局",,F,,27446,9730,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
absence,'æbsәns,,,n. the state of being absent,"n. 缺席, 缺乏, 没有",3,T,gk cet4 cet6 ky toefl,1585,2524,s:absences,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
absent,'æbsәnt,,,v. go away or leave,"a. 缺席的, 不在的, 缺乏的, 漫不经心的",2,T,zk gk cet4 cet6 ky toefl,4300,5516,p:absented/i:absenting/d:absented/3:absents,C1,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
absolute,'æbsәlu:t,,,n. something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative,"a. 绝对的, 专制的, 完全的, 独立的",3,T,gk cet4 cet6 ky toefl gre,2420,3165,s:absolutes,B2,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
absolutely,'æbsәlu:tli,,,r. completely and without qualification; used informally as intensifiers,"adv. 完全地, 绝对地, 确确实实地",4,T,cet4 toefl,1619,1149,,B1,adv.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
absorb,әb'sɒ:b,,,v. become imbued,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担",2,T,gk cet4 cet6 ky toefl ielts gre,2879,3120,d:absorbed/p:absorbed/3:absorbs/i:absorbing,B2,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
absorption,әb'sɒ:pʃәn,,,n. (chemistry) a process in which one substance permeates another; a fluid permeates or is dissolved by a liquid or solid,"n. 吸收, 专心, 全神贯注",,F,cet6 toefl,5819,8596,s:absorptions,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
abstract,'æbstrækt,,,v. consider a concept without thinking of a specific example; consider abstractly or theoretically,"a. 抽象的, 深奥的",2,F,gk cet4 cet6 ky toefl ielts gre,3729,4007,s:abstracts/d:abstracted/i:abstracting/3:abstracts/p:abstracted,B2,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
abstraction,æb'strækʃәn,,,n. a concept or idea not associated with any specific instance,"n. 抽象化, 心不在焉, 空想, 提炼, 抽象派作品",1,F,toefl,7880,8413,s:abstractions,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
absurd,әb'sә:d,,,n. a situation in which life seems irrational and meaningless,"a. 荒谬的, 不合理的, 可笑的",2,F,gk cet6 ky toefl ielts gre,5676,5901,s:absurds,C1,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
abu,,,,,abbr. 亚洲广播联盟（Asian Broadcast Union）,,F,,9321,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
abundance,ә'bʌndәns,,,n. the property of a more than adequate quantity or supply,"n. 丰富, 充足, 大量",1,F,cet6 ky toefl ielts gre,7038,5425,s:abundances,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
abundant,ә'bʌndәnt,,,a. present in great quantity,"a. 丰富的, 充分的, 大量的",1,F,gk cet4 ky toefl gre,7823,6223,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
abuse,ә'bju:s.ә'bju:z,,,n. a rude expression intended to offend or hurt,"n. 滥用, 虐待, 恶习, 辱骂",4,T,gk cet4 cet6 ky toefl ielts gre,2352,1540,d:abused/s:abuses/i:abusing/3:abuses/p:abused,C1,n.|v.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
abusive,ә'bju:siv,,,s. expressing offensive reproach,"a. 恶言谩骂的, 被滥用的, 腐败的, 虐待的",,F,gre,11729,7131,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
ac,,,,n a radioactive element of the actinide series; found in uranium ores,公元前,1,F,,4250,,s:acs,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
academic,.ækә'demik,,,a. associated with academia or an academy,"a. 学院的, 学术的, 不切实际的",3,T,gk cet4 cet6 ky toefl ielts gre,1941,1465,s:academics,B1|B2,adj.|n.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
academically,.ækә'demikәli,,,r. in regard to academic matters,adv. 学术上；学业上,,F,,14700,9322,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
academy,ә'kædәmi,,,n. a secondary school (usually private),"n. 学院, 院校, 学会",2,F,gk cet4 cet6 ky toefl,4366,4895,s:academies,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
accelerate,әk'selәreit,,,v. move faster,"v. 加速, 促进",2,F,gk cet4 cet6 ky toefl ielts gre,5328,4925,p:accelerated/d:accelerated/i:accelerating/3:accelerates,C1,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
acceleration,әk.selә'reiʃәn,,,n. an increase in rate of change,"n. 加速, 促进, 加速度",1,F,cet4 toefl,7072,8018,s:accelerations,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
accent,'æksәnt,,,n. distinctive manner of oral expression,"n. 重音, 口音, 特点, 注重点",2,T,zk gk cet4 ky,3701,4140,s:accents/p:accented/i:accenting/d:accented/3:accents,B2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
accentuate,æk'sentjueit,,,"v to stress, single out as important","vt. 以重音念, 强调, 重读",1,F,toefl gre,9738,10880,d:accentuated/p:accentuated/3:accentuates/i:accentuating,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
accept,әk'sept,,,v. consider or hold as true,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍",5,T,zk gk cet4 ky,488,766,d:accepted/p:accepted/i:accepting/3:accepts,A2,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
acceptable,әk'septәbl,,,a. worthy of acceptance or satisfactory,"a. 可接受的, 合意的, 可忍受的",3,T,cet4,2388,3415,,B2,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
acceptance,әk'septәns,,,n. the state of being acceptable and accepted,"n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信",2,F,cet4 cet6 ky,2899,3443,s:acceptances,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
accepted,әk'septid,,,s. generally approved or compelling recognition,"a. 公认的, 一般承认的",4,F,,5565,6728,0:accept/1:dp/d:accepted/p:accepted,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
access,'ækses,,,n. the right to obtain or make use of or take advantage of something (as services or membership),"n. 通路, 入口, 接近, 进入, 使用权, 发作",3,T,gk cet4 cet6 ky toefl ielts gre,999,1113,d:accessed/i:accessing/3:accesses/s:accesses/p:accessed,B1,n.|v.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
accessible,әk'sesәbl,,,a. capable of being reached,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的",2,F,gk cet6 toefl ielts gre,4162,4377,,C1,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
accession,æk'seʃәn,,,n. a process of increasing by addition (as to a collection or group),"n. 到达, 即位, 增加, 同意, 发作, 正式接受",,F,,8166,16248,s:accessions/d:accessioned/p:accessioned/i:accessioning/3:accessions,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
accessory,әk'sesәri,,,"n. clothing that is worn or carried, but not part of your main clothing","n. 附件, 零件, 附加物, 从犯, 同谋",2,F,cet4 cet6 ky toefl ielts gre,7048,6429,s:accessories,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
accident,'æksidәnt,,,n. an unfortunate mishap; especially one causing damage or injury,"n. 意外事件, 机遇, 事故, 次要方面",3,T,zk gk cet4 ky toefl,1187,1707,s:accidents,A2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
accidental,.æksi'dentl,,,n. a musical notation that makes a note sharp or flat or natural although that is not part of the key signature,"a. 意外的, 偶然的, 非主要的, 附属的",2,T,cet4 cet6 ky toefl,6917,7485,s:accidentals,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
accidentally,.æksi'dentli,,,r without advance planning,"adv. 偶然地, 意外地",,T,toefl,8425,7057,,B2,adv.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
accommodate,ә'kɒmәdeit,,,v. provide with something desired or needed,"vt. 使适应, 调和, 通融, 容纳, 向...提供",2,F,cet4 cet6 ky toefl ielts gre,3404,3717,d:accommodated/i:accommodating/3:accommodates/p:accommodated,B2,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
accommodation,ә.kɒmә'deiʃәn,,,n. a settlement of differences,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款",2,T,gk cet4 cet6 ky ielts,2048,5369,s:accommodations,B1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
accompaniment,ә'kʌmpәnimәnt,,,n. an event or situation that happens at the same time as or in connection with another,"n. 伴随物, 附加物, 伴奏",1,F,toefl,8637,11320,s:accompaniments,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
accompany,ә'kʌmpәni,,,v. go or travel along with,"vt. 陪伴, 伴随, 补充, 为...伴奏",3,T,gk cet4 cet6 ky toefl ielts gre,1902,2438,d:accompanied/p:accompanied/i:accompanying/3:accompanies,B2,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
accompanying,,,,v be present or associated with an event or entity,"a. 随同的, 附见的",,F,toefl,7080,6968,0:accompany/1:i/i:accompanying,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
accomplish,ә'kʌmpliʃ,,,v put in effect,"vt. 完成, 达到, 实现, 使完美",2,F,gk cet4 ky toefl ielts gre,5546,2345,d:accomplished/p:accomplished/i:accomplishing/3:accomplishes,B2,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
accomplished,ә'kʌmpliʃt,,,s. highly skilled,"a. 完成的, 实现的, 有造诣的, 熟练的, 善社交的",2,F,toefl gre,11383,8941,0:accomplish/1:dp/d:accomplished/p:accomplished,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
accomplishment,ә'kʌmpliʃmәnt,,,n. the action of accomplishing something,"n. 成就, 完成",1,F,cet6 toefl,13752,4308,s:accomplishments,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
accord,ә'kɒ:d,,,n. concurrence of opinion,"n. 一致, 调和, 协定",5,F,cet4 cet6 ky toefl ielts gre,5594,6075,i:according/d:accorded/3:accords/s:accords/p:accorded,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
accordance,ә'kɒ:dәns,,,n. the act of granting rights,"n. 一致, 和谐",1,F,cet4 cet6 ky,32964,8086,,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
according,ә'kɒ:diŋ,,,s. (followed by `to') in agreement with or accordant with,"a. 相符的, 根据...而定的",,F,,35013,478,0:accord/1:i,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
accordingly,ә'kɒ:diŋli,,,r. in accordance with,"adv. 相应地, 因此, 于是",2,F,cet4 cet6 ky,3199,5589,,C1,adv.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
account,ә'kaunt,,,n. a formal contractual relationship established to provide for regular banking or brokerage or business services,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目",5,T,gk cet4 ky toefl ielts,498,1071,s:accounts/d:accounted/i:accounting/3:accounts/p:accounted,B1|B2,n.|v.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
accountability,ә.kauntә'biliti,,,n. responsibility to someone or for some activity,"n. 负有责任, 可说明性",,F,gre,5194,4799,s:accountabilities,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
accountable,ә'kauntәbl,,,s. liable to account for one's actions,"a. 负有责任的, 可说明的, 可解释的",2,F,,7192,5713,,C1,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
accountancy,ә'kauntәnsi,,,n. the occupation of maintaining and auditing records and preparing financial reports for a business,"n. 会计工作, 会计学",1,F,,6720,35429,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
accountant,ә'kauntәnt,,,n. someone who maintains and audits business accounts,"n. 会计人员, 会计师",2,F,gk ky toefl ielts,3280,5949,s:accountants,B2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
accounting,ә'kauntiŋ,,,n. a convincing explanation that reveals basic causes,"n. 会计学, 帐单, 清帐",2,F,toefl ielts,3070,3921,0:account/1:i/i:accounting,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
accrue,ә'kru:,,,v. grow by addition,"vi. 自然增加, 产生",1,F,gre,8867,12166,i:accruing/d:accrued/3:accrues/p:accrued,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
accumulate,ә'kju:mjuleit,,,v. collect or gather,"v. 积聚, 堆积",2,F,gk cet4 cet6 ky toefl ielts gre,4997,5083,d:accumulated/i:accumulating/3:accumulates/p:accumulated,C1,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
accumulation,ә.kju:mju'leiʃәn,,,n. the act of accumulating,"n. 积聚, 累积, 积聚物",1,F,toefl,5822,8460,s:accumulations,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
accuracy,'ækjurәsi,,,n. the quality of being near to the true value,"n. 精确, 正确",,F,gk cet4 cet6 ky toefl ielts gre,3958,4076,s:accuracies,B2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
accurate,'ækjurәt,,,a. conforming exactly or almost exactly to fact or to a standard or performing with total accuracy,"a. 正确的, 精确的",3,T,cet4 cet6 ky toefl ielts gre,2738,2728,,B2,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
accurately,'ækjurәtli,,,r. with few mistakes,"adv. 正确地, 精确地",,T,,4484,4898,,B2,adv.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
accusation,ækju:'zeiʃәn,,,n. a formal charge of wrongdoing brought against a person; the act of imputing blame or guilt,"n. 控告, 指控, 指责",2,F,toefl,5025,4870,s:accusations,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
accuse,ә'kju:z,,,v. bring an accusation against; level a charge against,"vt. 指责, 控告, 归咎于",4,T,gk cet4 cet6 ky toefl ielts gre,1893,2024,d:accused/p:accused/i:accusing/3:accuses,B2,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
accused,ә'kju:zd,,,n. a defendant in a criminal proceeding,n. 被告,1,F,,5476,9385,0:accuse/1:dp/d:accused/p:accused,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
accustom,ә'kʌstәm,,,v make psychologically or physically used (to something),vt. 使习惯于,1,F,cet4 cet6 ky toefl,14055,7584,d:accustomed/p:accustomed/3:accustoms/i:accustoming,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
accustomed,ә'kʌstәmd,,,a. (often followed by `to') in the habit of or adapted to,"a. 惯常的, 习惯了的",1,F,gk cet4 cet6 ky toefl,6431,8524,d:accustomed/0:accustomed/1:dp/p:accustomed,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
ace,eis,,,n. one of four playing cards in a deck having a single pip on its face,"n. 幺点, 好手, 少许, 发球得分",2,F,,4892,13343,s:aces/i:acing/p:aced/3:aces/d:aced,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
ache,eik,,,n. a dull persistent (usually moderately intense) pain,n. 疼痛,2,F,zk gk cet4 ky,8267,7717,p:ached/i:aching/d:ached/3:aches,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
achieve,ә'tʃi:v,,,v. to gain with effort,"vt. 完成, 达到",4,T,zk gk cet4 cet6 ky toefl ielts,592,1152,d:achieved/i:achieving/p:achieved/3:achieves,A2,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
achievement,ә'tʃi:vmәnt,,,n the action of accomplishing something,"n. 完成, 成就, 功业",2,T,gk cet4 cet6 toefl ielts,1978,2021,s:achievements,B1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
acid,'æsid,,,n. any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt,"n. 酸, 酸类物质, 尖刻, 迷幻药",3,T,gk cet4 cet6 ky toefl ielts,1597,3238,s:acids,B2|C1,adj.|n.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
acknowledge,әk'nɒlidʒ,,,v. report the receipt of,"vt. 承认, 告知收悉, 答谢, 报偿",3,T,gk cet4 cet6 ky toefl ielts gre,2105,1654,p:acknowledged/d:acknowledged/3:acknowledges/i:acknowledging,B2,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
acknowledgement,әk'nɒlidʒmәnt,,,n the state or quality of being recognized or acknowledged,"n. 承认, 确认, 感谢, 收到的通知",1,F,,6939,13380,s:acknowledgements,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
acknowledgment,әk'nɔlidʒmәnt,,,n. a statement acknowledging something or someone,"n. 承认, 答谢, 认可, 谢礼, 收到的通知, 收到的回音, 谢意",,F,,19902,9911,s:acknowledgments,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
acoustic,ә'ku:stik,,,n. a remedy for hearing loss or deafness,"a. 听觉的, 声学的, 音响的",2,F,gre,9232,10194,s:acoustics,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
acquaint,ә'kweint,,,v. inform,"vt. 使认识, 介绍",1,F,cet6 ky toefl ielts gre,9574,9630,d:acquainted/i:acquainting/p:acquainted/3:acquaints,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
acquaintance,ә'kweintәns,,,n. personal knowledge or information about someone or something,"n. 认识, 相识者",2,F,gk cet4 cet6 ky toefl gre,5967,6274,s:acquaintances,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
acquire,ә'kwaiә,,,v. locate (a moving entity) by means of a tracking system such as radar,"vt. 获得, 学到",3,T,gk cet4 cet6 ky toefl ielts,1407,2063,d:acquired/p:acquired/i:acquiring/3:acquires,B2,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
acquisition,.ækwi'ziʃәn,,,n. the act of contracting or assuming or acquiring possession of something,"n. 获得, 获得物",3,F,gk cet4 cet6 ky toefl ielts,2567,3856,s:acquisitions,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
acquit,ә'kwit,,,v. pronounce not guilty of criminal charges,"vt. 无罪释放, 表现, 使履行",2,F,toefl gre,9949,9999,d:acquitted/p:acquitted/i:acquitting/s:acquits/3:acquits,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
acre,'eikә,,,n. a unit of area (4840 square yards) used in English-speaking countries,n. 英亩,3,F,gk cet4 ky toefl,3286,,s:acres,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
across,ә'krɒs,,,r. to the opposite side,"prep. 越过, 穿过, 与...相交叉, 在...的对面",5,T,zk gk,448,377,,A1,adv.|prep.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
act,ækt,,,n. a legal document codifying the result of deliberations of a committee or society or legislative body,"n. 行动, 行为, 幕, 法案",5,T,zk gk cet4 ky,371,837,i:acting/s:acts/p:acted/d:acted/3:acts,A2|B1,n.|v.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
acting,'æktiŋ,,,n. the performance of a part or role in a drama,"n. 演戏, 装腔作势",2,F,toefl,8764,8387,0:act/1:i/i:acting/s:actings,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
action,'ækʃәn,,,n. something done (usually as opposed to something said),"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼",5,T,zk gk cet4 cet6 ky toefl ielts,340,502,s:actions/i:actioning/p:actioned/3:actions,A1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
