collocation_id,sense_id,headword,collocation,source,vocabulary_role,human_review,review_reason
col_appearance_n_1_1,appearance_n_1,appearance,the physical/outward/external appearance of something,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_male_adj_1_1,male_adj_1,male,a male friend/colleague/partner,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_female_adj_1_1,female_adj_1,female,a female student/employee/artist/athlete,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_cute_adj_1_1,cute_adj_1,cute,a cute little baby,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_alive_adj_1_1,alive_adj_1,alive,Is your mother still alive?,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_elderly_adj_1_1,elderly_adj_1,elderly,an elderly man/woman/lady,OXFORD_REPO.example,general_ielts,T,Confirm phrase is a useful collocation rather than an example fragment.
col_pregnant_adj_1_1,pregnant_adj_1,pregnant,My wife is pregnant.,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_support_v_1_1,support_v_1,support,support somebody/something,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_love_v_1_1,love_v_1,love,I love you.,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_relationship_n_1_1,relationship_n_1,relationship,a personal/working relationship,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_remember_v_1_1,remember_v_1,remember,remember somebody/something,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_know_v_1_1,know_v_1,know,know something,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_nice_adj_1_1,nice_adj_1,nice,a nice day/smile/place,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_culture_n_1_1,culture_n_1,culture,African/American/European/Islamic culture,OXFORD_REPO.example,general_ielts,T,Confirm phrase is a useful collocation rather than an example fragment.
col_friendly_adj_1_1,friendly_adj_1,friendly,a warm and friendly person,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_quiet_adj_1_1,quiet_adj_1,quiet,her quiet voice,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_independent_adj_1_1,independent_adj_1,independent,an independent state/nation/country,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_honest_adj_1_1,honest_adj_1,honest,an honest man/woman,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_value_n_1_1,value_n_1,value,to go up/rise/increase in value,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_different_adj_1_1,different_adj_1,different,different from somebody/something,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_argument_n_1_1,argument_n_1,argument,to win/lose an argument,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_similar_adj_1_1,similar_adj_1,similar,We have very similar interests.,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_polite_adj_1_1,polite_adj_1,polite,polite to somebody,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_attitude_n_1_1,attitude_n_1,attitude,attitude towards somebody/something,OXFORD_REPO.example,general_ielts,T,Confirm phrase is a useful collocation rather than an example fragment.
col_responsible_adj_1_1,responsible_adj_1,responsible,responsible for doing something,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_tradition_n_1_1,tradition_n_1,tradition,religious/cultural/ancient traditions,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_together_adv_1_1,together_adv_1,together,We grew up together.,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_common_adj_1_1,common_adj_1,common,a common problem/occurrence/practice,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_protect_v_1_1,protect_v_1,protect,protect somebody/something/yourself,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_alone_adj_1_1,alone_adj_1,alone,not alone in,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_generation_n_1_1,generation_n_1,generation,the younger/older generation,OXFORD_REPO.example,general_ielts,T,Confirm phrase is a useful collocation rather than an example fragment.
col_disagree_v_1_1,disagree_v_1,disagree,Even friends disagree sometimes.,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_encourage_v_1_1,encourage_v_1,encourage,encourage somebody,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_communicate_v_1_1,communicate_v_1,communicate,We only communicate by email.,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_house_n_1_1,house_n_1,house,in a house,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_building_n_1_1,building_n_1,building,a tall/high-rise/ten-storey building,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_wall_n_1_1,wall_n_1,wall,to build a wall,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_bedroom_n_1_1,bedroom_n_1,bedroom,the spare/guest bedroom,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_apartment_n_1_1,apartment_n_1,apartment,an apartment building,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_window_n_1_1,window_n_1,window,out of the window,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_floor_n_1_1,floor_n_1,floor,a wooden/concrete/tiled floor,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_door_n_1_1,door_n_1,door,Open the door!,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_garden_n_1_1,garden_n_1,garden,a front/back/rear garden,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_table_n_1_1,table_n_1,table,at a/the table,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_chair_n_1_1,chair_n_1,chair,a table and chairs,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_hall_n_1_1,hall_n_1,hall,in a hall,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_roof_n_1_1,roof_n_1,roof,a flat/sloping/pitched roof,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_bed_n_1_1,bed_n_1,bed,a single/double bed,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_furniture_n_1_1,furniture_n_1,furniture,garden/office furniture,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_desk_n_1_1,desk_n_1,desk,at a desk,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_light_n_1_1,light_n_1,light,bright/dim light,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_mirror_n_1_1,mirror_n_1,mirror,in the mirror,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_lamp_n_1_1,lamp_n_1,lamp,a desk/bedside lamp,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_shower_n_1_1,shower_n_1,shower,in the shower,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_cabinet_n_1_1,cabinet_n_1,cabinet,a cabinet meeting,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_toilet_n_1_1,toilet_n_1,toilet,Have you flushed the toilet?,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_glass_n_1_1,glass_n_1,glass,a sheet/pane of glass,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_box_n_1_1,box_n_1,box,in a box,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_bottle_n_1_1,bottle_n_1,bottle,a wine/beer/milk/water bottle,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_television_n_1_1,television_n_1,television,a widescreen/flat-screen/plasma television,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_dish_n_1_1,dish_n_1,dish,a baking/serving dish,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_computer_n_1_1,computer_n_1,computer,a home computer,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_plate_n_1_1,plate_n_1,plate,sandwiches on a plate,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_bowl_n_1_1,bowl_n_1,bowl,a salad/fruit/sugar bowl,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_clock_n_1_1,clock_n_1,clock,The clock struck twelve/midnight.,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_spoon_n_1_1,spoon_n_1,spoon,a plastic/metal spoon,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_carry_v_1_1,carry_v_1,carry,carry somebody/something,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_pot_n_1_1,pot_n_1,pot,pots and pans,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_put_v_1_1,put_v_1,put,Put the cases down there,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_brush_n_1_1,brush_n_1,brush,a paintbrush,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_use_v_1_1,use_v_1,use,use something,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_need_v_1_1,need_v_1,need,need something/somebody,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_water_n_1_1,water_n_1,water,a glass of water,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_wash_v_1_1,wash_v_1,wash,wash something/somebody,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_move_v_1_1,move_v_1,move,Don't move—stay perfectly still.,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_repair_v_1_1,repair_v_1,repair,to repair a car/television,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_electricity_n_1_1,electricity_n_1,electricity,materials that conduct electricity,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_basket_n_1_1,basket_n_1,basket,a shopping basket,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_comfortable_adj_1_1,comfortable_adj_1,comfortable,It's such a comfortable bed.,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
