question_id,sense_id,level_number,question_type_id,type_code,example_id,prompt_hint,stem,correct_answer,translation_zh,difficulty,expected_time_ms,is_active,generation_version,human_review,review_status,is_context_hint,context_for_multiple_meaning
q_1_dad_n_1_context_f88a3956df1b,dad_n_1,1,2,2,ex_dad_n_1_1,根据句子选择目标单词的完整中文释义。,"My dad drives me to school.

句中“dad”是什么意思？",dad,我爸爸开车送我上学。,4.0,15000,T,level_1_5_reviewed_v1,F,approved,T,F
q_1_dad_n_1_spelling_b8ac55a12644,dad_n_1,1,1,1,ex_dad_n_1_2,Complete the word using the first-letter hint.,d___ is making tea in the kitchen.,dad,爸爸正在厨房里泡茶。,4.0,18000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_dad_n_1_cloze_77a4ff91ff52,dad_n_1,1,3,3,ex_dad_n_1_1,爸爸,My ______ drives me to school.,dad,我爸爸开车送我上学。,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_husband_n_1_meaning_fe3e25f90bd6,husband_n_1,1,2,2,,Choose the word that matches the meaning.,the man that somebody is married to; a married man,husband,丈夫,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_husband_n_1_context_80be7d77cf12,husband_n_1,1,2,2,ex_husband_n_1_1,根据句子选择目标单词的完整中文释义。,"Her husband works from home.

句中“husband”是什么意思？",husband,她丈夫在家办公。,4.0,15000,T,level_1_5_reviewed_v1,F,approved,T,F
q_1_husband_n_1_spelling_1f868325f162,husband_n_1,1,1,1,ex_husband_n_1_2,Complete the word using the first-letter hint.,My h______ usually washes the dishes.,husband,我丈夫通常洗碗。,4.0,18000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_husband_n_1_cloze_2d51aea23018,husband_n_1,1,3,3,ex_husband_n_1_1,丈夫,Her ______ works from home.,husband,她丈夫在家办公。,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_wife_n_1_meaning_30c72c4eca3a,wife_n_1,1,2,2,,Choose the word that matches the meaning.,the woman that somebody is married to; a married woman,wife,妻子；太太,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_wife_n_1_context_1142dfba0bcf,wife_n_1,1,2,2,ex_wife_n_1_1,根据句子选择目标单词的完整中文释义。,"His wife teaches English at a college.

句中“wife”是什么意思？",wife,他的妻子在一所大学教英语。,4.0,15000,T,level_1_5_reviewed_v1,F,approved,T,F
q_1_wife_n_1_spelling_6c4b33f10468,wife_n_1,1,1,1,ex_wife_n_1_2,Complete the word using the first-letter hint.,My w___ and I share the housework.,wife,我和妻子分担家务。,4.0,18000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_wife_n_1_cloze_50f9a7d5b855,wife_n_1,1,3,3,ex_wife_n_1_1,妻子；太太,His ______ teaches English at a college.,wife,他的妻子在一所大学教英语。,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_sister_n_1_meaning_10420c3caeaa,sister_n_1,1,2,2,,Choose the word that matches the meaning.,girl or woman who has the same mother and father as another person,sister,姐妹；姐姐；妹妹,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_sister_n_1_context_ccbca93cda24,sister_n_1,1,2,2,ex_sister_n_1_1,根据句子选择目标单词的完整中文释义。,"My sister has long black hair.

句中“sister”是什么意思？",sister,我姐姐留着黑色长发。,4.0,15000,T,level_1_5_reviewed_v1,F,approved,T,F
q_1_sister_n_1_spelling_9962d5506578,sister_n_1,1,1,1,ex_sister_n_1_2,Complete the word using the first-letter hint.,Her s_____ lives in another city.,sister,她妹妹住在另一个城市。,4.0,18000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_sister_n_1_cloze_6e3bda594d52,sister_n_1,1,3,3,ex_sister_n_1_1,姐妹；姐姐；妹妹,My ______ has long black hair.,sister,我姐姐留着黑色长发。,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_couple_n_1_meaning_26f1f6a68fc3,couple_n_1,1,2,2,,Choose the word that matches the meaning.,two people who are married or in a romantic relationship,couple,夫妻；情侣,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_couple_n_1_context_415f5be321dd,couple_n_1,1,2,2,ex_couple_n_1_1,根据句子选择目标单词的完整中文释义。,"The couple moved into a new house.

句中“couple”是什么意思？",couple,这对夫妻搬进了一所新房子。,4.0,15000,T,level_1_5_reviewed_v1,F,approved,T,F
q_1_couple_n_1_spelling_62fbb107d349,couple_n_1,1,1,1,ex_couple_n_1_2,Complete the word using the first-letter hint.,An elderly c_____ lives next door.,couple,一对老年夫妇住在隔壁。,4.0,18000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_couple_n_1_cloze_5e5aaa1fbf43,couple_n_1,1,3,3,ex_couple_n_1_1,夫妻；情侣,The ______ moved into a new house.,couple,这对夫妻搬进了一所新房子。,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_married_adj_1_meaning_8625f1fd219b,married_adj_1,1,2,2,,Choose the word that matches the meaning.,having a husband or wife,married,已婚的,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_married_adj_1_context_ecb070da9293,married_adj_1,1,2,2,ex_married_adj_1_1,根据句子选择目标单词的完整中文释义。,"They have been married for ten years.

句中“married”是什么意思？",married,他们已经结婚十年了。,4.0,15000,T,level_1_5_reviewed_v1,F,approved,T,F
q_1_married_adj_1_spelling_1f4bc2093185,married_adj_1,1,1,1,ex_married_adj_1_2,Complete the word using the first-letter hint.,My m______ sister lives in Boston.,married,我已婚的姐姐住在波士顿。,4.0,18000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_married_adj_1_cloze_3a230a516d1e,married_adj_1,1,3,3,ex_married_adj_1_1,已婚的,They have been ______ for ten years.,married,他们已经结婚十年了。,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_adult_n_1_meaning_e0df58fcb47a,adult_n_1,1,2,2,,Choose the word that matches the meaning.,fully grown person who is legally responsible for their actions,adult,成年人,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_adult_n_1_context_09d6fb7106f4,adult_n_1,1,2,2,ex_adult_n_1_1,根据句子选择目标单词的完整中文释义。,"Every adult needs an identification card.

句中“adult”是什么意思？",adult,每个成年人都需要身份证件。,4.0,15000,T,level_1_5_reviewed_v1,F,approved,T,F
q_1_adult_n_1_spelling_dd236f478a4c,adult_n_1,1,1,1,ex_adult_n_1_2,Complete the word using the first-letter hint.,An a____ must accompany the young child.,adult,必须有成年人陪同这个小孩。,4.0,18000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_adult_n_1_cloze_36facc0c4d22,adult_n_1,1,3,3,ex_adult_n_1_1,成年人,Every ______ needs an identification card.,adult,每个成年人都需要身份证件。,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_person_n_1_meaning_91022a3abb4f,person_n_1,1,2,2,,Choose the word that matches the meaning.,human as an individual,person,人；个人,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_person_n_1_context_544f3b54d04d,person_n_1,1,2,2,ex_person_n_1_1,根据句子选择目标单词的完整中文释义。,"Only one person can enter at a time.

句中“person”是什么意思？",person,每次只能有一个人进入。,4.0,15000,T,level_1_5_reviewed_v1,F,approved,T,F
q_1_person_n_1_spelling_fe1728b88ab0,person_n_1,1,1,1,ex_person_n_1_2,Complete the word using the first-letter hint.,She is a kind and honest p_____.,person,她是一个善良诚实的人。,4.0,18000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_person_n_1_cloze_94008e1a1e57,person_n_1,1,3,3,ex_person_n_1_1,人；个人,Only one ______ can enter at a time.,person,每次只能有一个人进入。,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_aunt_n_1_meaning_0838285744d1,aunt_n_1,1,2,2,,Choose the word that matches the meaning.,the sister of your father or mother; the wife of your uncle or aunt,aunt,姑妈；姨妈；伯母；婶母,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_aunt_n_1_context_a02ca5a11cf0,aunt_n_1,1,2,2,ex_aunt_n_1_1,根据句子选择目标单词的完整中文释义。,"My aunt visits us every summer.

句中“aunt”是什么意思？",aunt,我姑妈每年夏天来看我们。,4.0,15000,T,level_1_5_reviewed_v1,F,approved,T,F
q_1_aunt_n_1_spelling_6c34f3cf9330,aunt_n_1,1,1,1,ex_aunt_n_1_2,Complete the word using the first-letter hint.,Her a___ gave her a birthday gift.,aunt,她姨妈送了她一份生日礼物。,4.0,18000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_aunt_n_1_cloze_2272a3100dcc,aunt_n_1,1,3,3,ex_aunt_n_1_1,姑妈；姨妈；伯母；婶母,My ______ visits us every summer.,aunt,我姑妈每年夏天来看我们。,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_boy_n_1_meaning_d9cd23564426,boy_n_1,1,2,2,,Choose the word that matches the meaning.,male child or a young male person,boy,男孩,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_boy_n_1_context_4b8fa492dcdf,boy_n_1,1,2,2,ex_boy_n_1_1,根据句子选择目标单词的完整中文释义。,"The boy is waiting for the school bus.

句中“boy”是什么意思？",boy,那个男孩正在等校车。,4.0,15000,T,level_1_5_reviewed_v1,F,approved,T,F
q_1_boy_n_1_spelling_7855bee077fd,boy_n_1,1,1,1,ex_boy_n_1_2,Complete the word using the first-letter hint.,A young b___ found the lost key.,boy,一个小男孩找到了丢失的钥匙。,4.0,18000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_boy_n_1_cloze_025aaf0542c5,boy_n_1,1,3,3,ex_boy_n_1_1,男孩,The ______ is waiting for the school bus.,boy,那个男孩正在等校车。,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_girl_n_1_meaning_d588dc9859ec,girl_n_1,1,2,2,,Choose the word that matches the meaning.,female child,girl,女孩,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_girl_n_1_context_bb1070990067,girl_n_1,1,2,2,ex_girl_n_1_1,根据句子选择目标单词的完整中文释义。,"The girl smiled at her teacher.

句中“girl”是什么意思？",girl,那个女孩对老师微笑。,4.0,15000,T,level_1_5_reviewed_v1,F,approved,T,F
q_1_girl_n_1_spelling_08483fb0ac5a,girl_n_1,1,1,1,ex_girl_n_1_2,Complete the word using the first-letter hint.,A little g___ is playing in the garden.,girl,一个小女孩正在花园里玩。,4.0,18000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_girl_n_1_cloze_1c6a2ba202f6,girl_n_1,1,3,3,ex_girl_n_1_1,女孩,The ______ smiled at her teacher.,girl,那个女孩对老师微笑。,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_marriage_n_1_meaning_aaa59d5e40b1,marriage_n_1,1,2,2,,Choose the word that matches the meaning.,the legal relationship between two people who are married to each other,marriage,婚姻,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_marriage_n_1_context_b2aa11a6e861,marriage_n_1,1,2,2,ex_marriage_n_1_1,根据句子选择目标单词的完整中文释义。,"Trust is important in a marriage.

句中“marriage”是什么意思？",marriage,信任在婚姻中很重要。,4.0,15000,T,level_1_5_reviewed_v1,F,approved,T,F
q_1_marriage_n_1_spelling_1ce4b9928c2c,marriage_n_1,1,1,1,ex_marriage_n_1_2,Complete the word using the first-letter hint.,Their m_______ has lasted for thirty years.,marriage,他们的婚姻已经持续了三十年。,4.0,18000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_marriage_n_1_cloze_6a7881bf75f4,marriage_n_1,1,3,3,ex_marriage_n_1_1,婚姻,Trust is important in a ______.,marriage,信任在婚姻中很重要。,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_uncle_n_1_meaning_073ef93858bf,uncle_n_1,1,2,2,,Choose the word that matches the meaning.,the brother of your mother or father; the husband of your aunt or uncle,uncle,叔叔；伯伯；舅舅；姨父,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_uncle_n_1_context_d0d4cc0deca0,uncle_n_1,1,2,2,ex_uncle_n_1_1,根据句子选择目标单词的完整中文释义。,"My uncle owns a small restaurant.

句中“uncle”是什么意思？",uncle,我叔叔经营一家小餐馆。,4.0,15000,T,level_1_5_reviewed_v1,F,approved,T,F
q_1_uncle_n_1_spelling_0b73c6571fe4,uncle_n_1,1,1,1,ex_uncle_n_1_2,Complete the word using the first-letter hint.,Her u____ taught her to swim.,uncle,她舅舅教她游泳。,4.0,18000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_uncle_n_1_cloze_0a2a368b19a9,uncle_n_1,1,3,3,ex_uncle_n_1_1,叔叔；伯伯；舅舅；姨父,My ______ owns a small restaurant.,uncle,我叔叔经营一家小餐馆。,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_cousin_n_1_meaning_80a8f96ed770,cousin_n_1,1,2,2,,Choose the word that matches the meaning.,child of your aunt or uncle,cousin,堂兄弟姐妹；表兄弟姐妹,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_cousin_n_1_context_4c1bc8b617e1,cousin_n_1,1,2,2,ex_cousin_n_1_1,根据句子选择目标单词的完整中文释义。,"My cousin and I attend the same school.

句中“cousin”是什么意思？",cousin,我表弟和我上同一所学校。,4.0,15000,T,level_1_5_reviewed_v1,F,approved,T,F
q_1_cousin_n_1_spelling_22d139c1f6ab,cousin_n_1,1,1,1,ex_cousin_n_1_2,Complete the word using the first-letter hint.,She visited her c_____ during the holiday.,cousin,她假期去看望了表姐。,4.0,18000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_cousin_n_1_cloze_b6e9c3b339a2,cousin_n_1,1,3,3,ex_cousin_n_1_1,堂兄弟姐妹；表兄弟姐妹,My ______ and I attend the same school.,cousin,我表弟和我上同一所学校。,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_man_n_1_meaning_fece988daeb9,man_n_1,1,2,2,,Choose the word that matches the meaning.,an adult male human,man,成年男子,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_man_n_1_context_86c10216724b,man_n_1,1,2,2,ex_man_n_1_1,根据句子选择目标单词的完整中文释义。,"A tall man opened the door.

句中“man”是什么意思？",man,一个高个子男人打开了门。,4.0,15000,T,level_1_5_reviewed_v1,F,approved,T,F
q_1_man_n_1_spelling_9653de41e03b,man_n_1,1,1,1,ex_man_n_1_2,Complete the word using the first-letter hint.,The m___ carried a heavy box upstairs.,man,那个男人把一个重箱子搬上楼。,4.0,18000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_man_n_1_cloze_52b614deeb81,man_n_1,1,3,3,ex_man_n_1_1,成年男子,A tall ______ opened the door.,man,一个高个子男人打开了门。,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_woman_n_1_meaning_fd9a168ebcb8,woman_n_1,1,2,2,,Choose the word that matches the meaning.,an adult female human,woman,成年女子,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_woman_n_1_context_fbfdf0db3196,woman_n_1,1,2,2,ex_woman_n_1_1,根据句子选择目标单词的完整中文释义。,"The woman works in our local library.

句中“woman”是什么意思？",woman,那位女士在当地的图书馆工作。,4.0,15000,T,level_1_5_reviewed_v1,F,approved,T,F
q_1_woman_n_1_spelling_2dac6b2b9f5a,woman_n_1,1,1,1,ex_woman_n_1_2,Complete the word using the first-letter hint.,A young w____ answered the phone.,woman,一位年轻女子接了电话。,4.0,18000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_woman_n_1_cloze_55173a8341fc,woman_n_1,1,3,3,ex_woman_n_1_1,成年女子,The ______ works in our local library.,woman,那位女士在当地的图书馆工作。,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_age_n_1_meaning_2508ffd60c3a,age_n_1,1,2,2,,Choose the word that matches the meaning.,the number of years that a person has lived or a thing has existed,age,年龄,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_age_n_1_context_df65907f3799,age_n_1,1,2,2,ex_age_n_1_1,根据句子选择目标单词的完整中文释义。,"Please write your age on the form.

句中“age”是什么意思？",age,请在表格上填写你的年龄。,4.0,15000,T,level_1_5_reviewed_v1,F,approved,T,F
q_1_age_n_1_spelling_03fc815dbdd4,age_n_1,1,1,1,ex_age_n_1_2,Complete the word using the first-letter hint.,Children of this a___ learn very quickly.,age,这个年龄的孩子学得很快。,4.0,18000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_age_n_1_cloze_ca34a00d4608,age_n_1,1,3,3,ex_age_n_1_1,年龄,Please write your ______ on the form.,age,请在表格上填写你的年龄。,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_relative_n_1_meaning_7da6d5bc6c8b,relative_n_1,1,2,2,,Choose the word that matches the meaning.,person who is in the same family as somebody else,relative,亲戚,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_relative_n_1_context_2de1609084cf,relative_n_1,1,2,2,ex_relative_n_1_1,根据句子选择目标单词的完整中文释义。,"A relative came from another city for the wedding.

句中“relative”是什么意思？",relative,一位亲戚从另一个城市来参加婚礼。,4.0,15000,T,level_1_5_reviewed_v1,F,approved,T,F
q_1_relative_n_1_spelling_66046641a5e6,relative_n_1,1,1,1,ex_relative_n_1_2,Complete the word using the first-letter hint.,She is a close r_______ of mine.,relative,她是我的近亲。,4.0,18000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_relative_n_1_cloze_64b0918f7b25,relative_n_1,1,3,3,ex_relative_n_1_1,亲戚,A ______ came from another city for the wedding.,relative,一位亲戚从另一个城市来参加婚礼。,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_grandmother_n_1_meaning_6d92ef74c0e4,grandmother_n_1,1,2,2,,Choose the word that matches the meaning.,the mother of your father or mother,grandmother,祖母；外祖母,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_grandmother_n_1_context_5131c66d721f,grandmother_n_1,1,2,2,ex_grandmother_n_1_1,根据句子选择目标单词的完整中文释义。,"My grandmother tells wonderful family stories.

句中“grandmother”是什么意思？",grandmother,我祖母会讲精彩的家庭故事。,4.0,15000,T,level_1_5_reviewed_v1,F,approved,T,F
q_1_grandmother_n_1_spelling_b242a63ac047,grandmother_n_1,1,1,1,ex_grandmother_n_1_2,Complete the word using the first-letter hint.,Her g__________ is eighty years old.,grandmother,她外祖母八十岁了。,4.0,18000,T,level_1_5_reviewed_v1,F,approved,F,F
