example_id,headword,sense_id,sentence_en,translation_zh,target_span,difficulty_band,origin,evidence_ids,copyright_status,review_status,human_review,notes
pe_influence_2,influence,influence_n_1,The culture you grow up in has a strong influence on the way you see the world.,你所成长的文化对你如何看待世界有着深远的影响。,influence,4.0,ai_generated_from_sources,ev_influence_1,public_domain,pending,F,Collocation: strong influence on. Cross-topic reuse of culture (pf_016). Relative clause structure typical of B1+ writing.
pe_community_1,community,community_n_1,The local community organized activities to help elderly residents feel less isolated.,当地社区组织了活动，以帮助年迈的居民减少孤独感。,community,4.0,ai_generated_from_sources,ev_community_1,public_domain,pending,F,Cross-topic reuse of elderly (pf_009). Collocation: local community / sense of community. Describes community-support function.
pe_community_2,community,community_n_1,Children who grow up in a close community often develop strong social skills.,在紧密社区中成长的孩子往往能培养出较强的社交能力。,community,4.0,ai_generated_from_sources,ev_community_1,public_domain,pending,F,Collocation: close community. Cross-topic reuse of children (support word) and social (support word). Relative clause structure.
pe_individual_1,individual,individual_n_1,Every individual has the right to make their own choices in life.,每个人都有权在生活中做出自己的选择。,individual,4.0,ai_generated_from_sources,ev_individual_1,public_domain,pending,F,Noun use of individual. Collocation: every individual / each individual. Note: their used as gender-neutral singular pronoun (modern American English standard).
pe_individual_2,individual,individual_n_1,Some cultures place more value on the group than on the individual.,一些文化更看重群体而非个人。,individual,4.0,ai_generated_from_sources,ev_individual_1,public_domain,pending,F,Group vs individual contrast. Cross-topic reuse of culture (pf_016) and value (pf_017). Classic IELTS Task 2 argument structure.
pe_culture_1,culture,culture_n_1,Learning about another culture helps people develop respect and understanding.,了解另一种文化有助于人们培养尊重和理解。,culture,4.0,ai_generated_from_sources,ev_culture_1,public_domain,pending,F,Gerund subject. Collocation: learn about a culture / cultural understanding. Positive framing appropriate for IELTS context.
pe_culture_2,culture,culture_n_1,Family values differ greatly from one culture to another.,家庭价值观因文化不同而存在很大差异。,culture,4.0,ai_generated_from_sources,ev_culture_1,public_domain,pending,F,Collocation: from one culture to another. Cross-topic reuse of value (pf_017) and family (pf_001). Common comparative structure in Task 2 essays.
pe_value_1,value,value_n_1,Respect for older people is a core value in many Asian families.,尊重老年人是许多亚洲家庭的核心价值观。,value,4.0,ai_generated_from_sources,ev_value_1,public_domain,pending,T,Contains regional reference (Asian families). Review to ensure neutral framing. Collocation: core value / shared value. Cross-topic reuse of elderly/older people (pf_009).
pe_value_2,value,value_n_1,Children often adopt the values of their parents without realizing it.,孩子们往往在不知不觉中接受父母的价值观。,values,4.0,ai_generated_from_sources,ev_value_1,public_domain,pending,F,Plural values (target span). Collocation: adopt values / shared values. Cross-topic reuse of parent (pf_002). Natural and neutral example.
pe_attitude_1,attitude,attitude_n_1,A positive attitude toward studying helps children succeed at school.,积极的学习态度有助于孩子在学校取得成功。,attitude,4.0,ai_generated_from_sources,ev_attitude_1,public_domain,pending,F,Collocation: positive attitude toward. Note: toward (American) not towards (British). Cross-topic reuse with education.
pe_attitude_2,attitude,attitude_n_1,Her attitude toward family responsibilities changed after she became a parent herself.,成为父母之后，她对家庭责任的态度发生了变化。,attitude,4.0,ai_generated_from_sources,ev_attitude_1,public_domain,pending,F,Collocation: attitude toward something / change your attitude. Cross-topic reuse of responsibility (pf_008) and parent (pf_002).
pe_behavior_1,behavior,behavior_n_1,Children often copy the behavior of the adults around them.,孩子们往往会模仿身边成年人的行为。,behavior,4.0,ai_generated_from_sources,ev_behavior_1,public_domain,pending,F,American spelling: behavior. Collocation: copy behavior / model behavior. Concrete and relatable. Cross-topic reuse of children (support word).
pe_behavior_2,behavior,behavior_n_1,Good behavior at home often leads to good behavior at school.,在家里的良好行为通常也会带来在学校的良好表现。,behavior,4.0,ai_generated_from_sources,ev_behavior_1,public_domain,pending,F,Repetition of behavior emphasizes the cross-context transfer idea. Collocation: good/bad behavior. Simple and clear sentence structure.
pe_conflict_1,conflict,conflict_n_1,Family conflict can have a negative effect on children's mental health.,家庭冲突会对孩子的心理健康产生负面影响。,conflict,4.0,ai_generated_from_sources,ev_conflict_1,public_domain,pending,F,Collocation: family conflict / resolve a conflict. Cross-topic reuse of children (support word). Common IELTS Task 2 argument.
pe_conflict_2,conflict,conflict_n_1,Learning to resolve conflict peacefully is an important life skill.,学会和平解决冲突是一项重要的人生技能。,conflict,4.0,ai_generated_from_sources,ev_conflict_1,public_domain,pending,F,Collocation: resolve a conflict. Gerund subject. Positive framing appropriate for IELTS. Cross-topic with society and psychology.
