evidence_id,headword,sense_id,quoted_text,matched_span,source_title,source_author,source_publisher,source_url_or_locator,publication_date,topic,usage_analysis,license,copyright_status,human_review,notes
ev_support_1,support,support_v_1,"Emotional support from family and friends can be crucial during difficult life events.",support,Social support,Wikipedia contributors,Wikipedia,https://en.wikipedia.org/wiki/Social_support,2024,people and family,"Confirms emotional/relational support sense. Natural collocations: provide support / offer support / emotional support / financial support / support your family. Teaching family/emotional sense; argument sense taught later.",CC_BY_SA_4.0,cc_by_sa,T,Verify exact text matches current Wikipedia article on Social support. Attribution required.
ev_raise_1,raise,raise_v_1,"Parenting or child-rearing involves raising children — providing physical care, emotional support, education, and guidance.",raise,Parenting,Wikipedia contributors,Wikipedia,https://en.wikipedia.org/wiki/Parenting,2024,people and family,"Confirms child-rearing sense of raise. Natural collocations: raise children / raise a family / be raised by grandparents / raise kids in a city. Other senses (raise prices / raise a question) must be taught separately.",CC_BY_SA_4.0,cc_by_sa,T,Verify exact text matches current Wikipedia Parenting article. Attribution required. Note this is a paraphrase-risk area: do not reuse verbatim in practice examples.
ev_influence_1,influence,influence_n_1,"Parents have a profound influence on their children's values, behaviors, and life outcomes.",influence,Parenting styles,Wikipedia contributors,Wikipedia,https://en.wikipedia.org/wiki/Parenting_styles,2024,people and family,"Confirms power-to-affect sense in family context. Natural collocations: have an influence on / strong influence / positive/negative influence / cultural influence. High-frequency in IELTS Task 2 family and society essays.",CC_BY_SA_4.0,cc_by_sa,T,Verify exact text. Parenting styles article content changes frequently. Check current version and note revision date.
ev_community_1,community,community_n_1,"A community is a social unit with commonality such as place, norms, religion, values, customs, or identity.",community,Community,Wikipedia contributors,Wikipedia,https://en.wikipedia.org/wiki/Community,2024,people and family,"Confirms shared-group sense. Natural collocations: local community / sense of community / community support / community values. Cross-topic: family community society education environment.",CC_BY_SA_4.0,cc_by_sa,T,Verify exact text matches current Wikipedia article. Attribution required.
ev_individual_1,individual,individual_n_1,"An individual is a person considered separately from a group or society.",individual,Individual,Wikipedia contributors,Wikipedia,https://en.wikipedia.org/wiki/Individual,2024,people and family,"Confirms single-person sense distinct from group. Natural collocations: every individual / the individual vs society / individual responsibility / individual rights. Cross-topic across society technology and academic writing.",CC_BY_SA_4.0,cc_by_sa,T,Verify exact text matches current Wikipedia article. Attribution required.
ev_culture_1,culture,culture_n_1,"Culture is an umbrella term which encompasses the social behavior, institutions, and norms found in human societies, as well as the knowledge, beliefs, arts, laws, customs, capabilities, and habits of the individuals in these groups.",culture,Culture,Wikipedia contributors,Wikipedia,https://en.wikipedia.org/wiki/Culture,2024,people and family,"Confirms broad shared-practices sense. For IELTS teaching focus on: customs and beliefs of a group. Natural collocations: cultural values / cultural differences / traditional culture / Western culture. Very high frequency in Chinese learner essays.",CC_BY_SA_4.0,cc_by_sa,T,Verify exact text matches current Wikipedia article. Culture article is very long and frequently edited. Attribution required.
ev_value_1,value,value_n_1,"Values are the principles and standards of behavior that determine what is right and good in human relationships and society.",value,Value (ethics),Wikipedia contributors,Wikipedia,https://en.wikipedia.org/wiki/Value_(ethics),2024,people and family,"Confirms moral/social values sense (plural: values = what matters to a person or group). Natural collocations: family values / traditional values / core values / value system. This is the target sense; monetary value and verb to value taught separately.",CC_BY_SA_4.0,cc_by_sa,T,Verify exact text matches current Wikipedia article on Value (ethics). Attribution required. Note: plural values is the more common form in this sense.
ev_attitude_1,attitude,attitude_n_1,"Attitude is a psychological tendency that is expressed by evaluating a particular entity with some degree of favor or disfavor.",attitude,Attitude (psychology),Wikipedia contributors,Wikipedia,https://en.wikipedia.org/wiki/Attitude_(psychology),2024,people and family,"Confirms way-of-thinking/feeling sense. Natural collocations: attitude toward(s) / positive/negative attitude / change your attitude / attitude toward family. American English uses toward (not towards).",CC_BY_SA_4.0,cc_by_sa,T,Verify exact text matches current Wikipedia article. Psychology article uses technical framing — simplify for teaching definition.
ev_behavior_1,behavior,behavior_n_1,"Behavior is the actions or reactions of an object or organism, usually in relation to the environment.",behavior,Behavior,Wikipedia contributors,Wikipedia,https://en.wikipedia.org/wiki/Behavior,2024,people and family,"Confirms actions-and-conduct sense. Natural collocations: behavior toward others / behavioral problems / good/bad behavior / learn from behavior. American spelling: behavior (British: behaviour). Note for learners.",CC_BY_SA_4.0,cc_by_sa,T,Verify exact text matches current Wikipedia article. Attribution required. Confirm American English primary form in Supabase content.
ev_conflict_1,conflict,conflict_n_1,"Interpersonal conflict is a disagreement between two or more people.",conflict,Interpersonal conflict,Wikipedia contributors,Wikipedia,https://en.wikipedia.org/wiki/Interpersonal_conflict,2024,people and family,"Confirms interpersonal/social disagreement sense (not armed conflict). Natural collocations: family conflict / resolve a conflict / avoid conflict / cause conflict. Teaching this sense first; armed conflict and geopolitical conflict introduced at higher levels.",CC_BY_SA_4.0,cc_by_sa,T,Verify exact text matches current Wikipedia article. Attribution required. Note stress pattern CONflict (n.) needs to be in pronunciation note.
