form_id,headword,base_pos,form_type,form_word,american_note,derived_pos,in_ecdict_exchange,human_review,notes
wf_resp_adj,responsibility,n.,adjective_derived,responsible,,adj.,,F,Responsible for something. High collocation value.
wf_resp_adv,responsibility,n.,adverb_derived,responsibly,,adv.,,F,Act responsibly. Common in ethics and family contexts.
wf_elderly_comp,elderly,adj.,comparative,more elderly,,adj.,,F,Comparative is more elderly not elderlier. Note to learners.
wf_indep_n,independent,adj.,noun_derived,independence,,n.,,F,Financial independence / independence from parents. Core noun form.
wf_indep_adv,independent,adj.,adverb_derived,independently,,adv.,,F,Live independently. Common in elderly and youth contexts.
wf_indep_ant,independent,adj.,antonym_form,dependent,,adj.,,F,Teach as antonym pair. Dependent on family.
wf_indep_ant_n,independent,adj.,antonym_noun,dependence,,n.,,F,Emotional dependence / financial dependence. Teach after independence.
wf_support_3sg,support,v.,third_sg,supports,,v.,3:supports,F,She supports her family.
wf_support_past,support,v.,past_simple,supported,,v.,d:supported,F,He supported his parents financially.
wf_support_pp,support,v.,past_participle,supported,,adj./v.,d:supported,F,She felt supported by her family.
wf_support_ppr,support,v.,pres_participle,supporting,,v.,i:supporting,F,She is supporting three children.
wf_support_n,support,v.,noun_form,support,,n.,,T,Support as noun is polysemous (emotional support / support beam / financial support). Teaching family/emotional sense here.
wf_support_adj,support,v.,adjective_derived,supportive,,adj.,,F,A supportive family. High collocation value.
wf_raise_3sg,raise,v.,third_sg,raises,,v.,3:raises,F,She raises her children alone.
wf_raise_past,raise,v.,past_simple,raised,,v.,d:raised,F,He was raised in Shanghai.
wf_raise_pp,raise,v.,past_participle,raised,,adj./v.,d:raised,F,She was raised by her grandparents.
wf_raise_ppr,raise,v.,pres_participle,raising,,v.,i:raising,F,Raising children requires patience.
wf_influence_pl,influence,n.,plural,influences,,n.,s:influences,F,The influences on a child's development.
wf_influence_v,influence,n.,verb_form,influence,,v.,,F,To influence someone. Same spelling as noun. Teach verb use separately.
wf_influence_adj,influence,n.,adjective_derived,influential,,adj.,,F,An influential family member. Recognition vocabulary.
wf_community_pl,community,n.,plural,communities,,n.,s:communities,F,Regular plural. -y → -ies.
wf_individual_pl,individual,n.,plural,individuals,,n.,s:individuals,F,Regular plural.
wf_individual_adj,individual,n.,adjective_form,individual,,adj.,,F,Individual choice / individual responsibility. Same form as noun. Note dual use.
wf_individual_adv,individual,n.,adverb_derived,individually,,adv.,,F,Assessed individually. Common in education and society contexts.
wf_individual_n2,individual,n.,noun_derived,individuality,,n.,,F,Sense of individuality. Higher-band recognition word.
wf_culture_pl,culture,n.,plural,cultures,,n.,s:cultures,F,Different cultures / across cultures.
wf_culture_adj,culture,n.,adjective_derived,cultural,,adj.,,F,Cultural differences / cultural values. Very high frequency in IELTS essays.
wf_culture_adv,culture,n.,adverb_derived,culturally,,adv.,,F,Culturally diverse. Common in Task 2 writing.
wf_value_pl,value,n.,plural,values,,n.,s:values,F,Family values / traditional values. Plural form very common in IELTS.
wf_value_v,value,n.,verb_form,value,,v.,,T,To value something = to consider it important. Same spelling. Polysemous. Teach verb sense later.
wf_value_adj,value,n.,adjective_derived,valuable,,adj.,,F,Valuable experience / valuable relationship. High frequency.
wf_attitude_pl,attitude,n.,plural,attitudes,,n.,s:attitudes,F,Attitudes toward family / attitudes are changing.
wf_behavior_pl,behavior,n.,plural,behaviors,,n.,s:behaviors,F,American plural. British: behaviours. Note American spelling policy.
wf_behavior_v,behavior,n.,verb_base,behave,,v.,,F,To behave well / badly. Base verb for behavior.
wf_behave_3sg,behave,v.,third_sg,behaves,,v.,3:behaves,F,She behaves differently at home.
wf_behave_past,behave,v.,past_simple,behaved,,v.,d:behaved,F,The children behaved well.
wf_behavior_adj,behavior,n.,adjective_derived,behavioral,,adj.,,F,American spelling: behavioral (British: behavioural). Behavioral problems / behavioral change.
wf_conflict_pl,conflict,n.,plural,conflicts,,n.,s:conflicts,F,Family conflicts / internal conflicts.
wf_conflict_v,conflict,n.,verb_form,conflict,,v.,,T,To conflict with something. Same spelling as noun. Stress shifts: CONflict (n.) vs conFLICT (v.). Human review for pronunciation.
wf_conflict_adj,conflict,n.,adjective_derived,conflicting,,adj.,,F,Conflicting opinions / conflicting values. Common in Task 2 essays.
wf_conflict_adj2,conflict,n.,adjective_derived,conflicted,,adj.,,F,Feel conflicted = have mixed feelings. Useful for emotions context.
